eval_prompt	Topic - concise(1,NaN)_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_Y	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_Y	1 Goal (1,NaN)_N	2 Goals (1,NaN)_Y	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_N	AI role play (1,NaN)_Y	AI role play (1,NaN)_N	Role form/context(1,NaN)_Y	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_Y	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_Y	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_Y	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_Y	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.13229638	-100	-0.2328816	-100	-0.44952372	-100	-0.3837887	-100	-0.19703335	-100.0	-0.6116753	-100	-0.35962683	-100.0	-0.23963754	-100	-0.40724072	-100	-0.17522262	-100	-0.16992532	-100.0	-0.22932269	-100	-0.12973358	-100	-0.3694853	-100	-0.17907506	-100	-0.4600908	-100	-0.17342027	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.13556923	-100	-0.5151626	-100	-0.13872297	-100	-0.28529075	-100	-0.17162108	-100.0	-0.229629	-100	-0.29152778	-100.0	-1.1737777	-100	-0.27087018	-100	-0.13644394	-100	-0.46410185	-100.0	-0.15236406	-100	-0.14338434	-100	-0.26538283	-100	-0.18591817	-100	-0.21302961	-100	-0.7728687	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.12430588	-100	-0.15173794	-100	-0.2734322	-100	-0.13520296	-100	-0.17559648	-100.0	-0.15906484	-100	-0.10053173	-100.0	-0.562618	-100	-0.13727133	-100	-0.2033036	-100	-0.33450568	-100.0	-0.13537076	-100	-0.13890429	-100	-0.22631198	-100	-0.15815605	-100	-0.1412339	-100	-0.28585073	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.09751526	-100	-0.20633367	-100	-0.17174026	-100	-0.20359427	-100	-0.16918035	-100.0	-0.44807997	-100	-0.07297806	-100.0	-0.14695162	-100	-0.2330163	-100	-0.19417647	-100	-0.1500738	-100.0	-0.1657902	-100	-0.18457086	-100	-0.28621277	-100	-0.14560929	-100	-0.1223406	-100	-0.19051996	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.12244696	-100	-0.1873476	-100	-0.1399553	-100	-0.22096422	-100	-0.3344667	-100.0	-0.53314316	-100	-0.1854697	-100.0	-0.1318658	-100	-0.22089955	-100	-0.14380948	-100	-100.0	-1.1244661	-0.13668664	-100	-0.16803148	-100	-0.20297891	-100	-0.1877298	-100	-0.11604561	-100	-0.1956891	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.10748463	-100	-0.20277259	-100	-0.20814848	-100	-0.1778873	-100	-0.20333281	-100.0	-0.18743733	-100	-0.14295502	-100.0	-0.3279908	-100	-0.24208823	-100	-0.15281451	-100	-0.27245826	-100.0	-0.1842102	-100	-0.14395493	-100	-0.2611608	-100	-0.21707377	-100	-0.15651967	-100	-0.184015	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.07863751	-100	-0.39439327	-100	-0.1664901	-100	-0.16566293	-100	-0.20437579	-100.0	-0.37771577	-100	-0.46482703	-100.0	-0.19827099	-100	-0.19769283	-100	-0.21021989	-100	-0.30120587	-100.0	-0.15115234	-100	-0.14847705	-100	-0.14669028	-100	-0.14451765	-100	-0.24033609	-100	-0.3473386	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.32886526	-100	-0.3502466	-100	-0.24854639	-100	-0.20895787	-100	-0.23369673	-100.0	-0.46532014	-100	-0.12936305	-100.0	-0.14662643	-100	-0.23201112	-100	-0.21634431	-100	-0.7562569	-100.0	-0.19884826	-100	-0.28765023	-100	-0.55682874	-100	-0.13775904	-100	-0.38730803	-100	-0.2781574	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.6538847	-100	-0.14275888	-100	-0.19811808	-100	-0.13588314	-100	-0.23321818	-100.0	-0.26413944	-100	-0.2145926	-100.0	-0.759253	-100	-0.26562262	-100	-0.22745311	-100	-0.2149553	-100.0	-0.17032085	-100	-0.2058389	-100	-0.17745309	-100	-0.13175109	-100	-0.06395502	-100	-0.25877705	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.13005875	-100	-0.20784387	-100	-0.336694	-100	-0.67012113	-100	-100.0	-0.66936886	-0.32212076	-100	-0.28879294	-100.0	-0.20002736	-100	-0.21462725	-100	-0.36424384	-100	-100.0	-0.8017409	-0.51060003	-100	-0.20834704	-100	-0.33724385	-100	-0.37136915	-100	-0.11445826	-100	-0.49946436	-100
Explain the negative sides of social media use without using bulletins and ask one question at a time. And make it interactive by asking questions like a teacher	-0.17542201	-100	-0.19168623	-100	-0.20606504	-100	-0.21832944	-100	-0.19309187	-100.0	-0.8751685	-100	-0.10272772	-100.0	-0.14666052	-100	-0.21126328	-100	-0.16590825	-100	-0.2349113	-100.0	-0.28299877	-100	-0.31832802	-100	-0.3633929	-100	-0.17066199	-100	-0.1811003	-100	-0.27910498	-100
Teach me about the bad sides of social media use. Ask questions to assess my understanding. No bulletins, one question at a time.	-0.15385394	-100	-0.27185008	-100	-0.1407041	-100	-0.1506176	-100	-0.16726997	-100.0	-0.28730682	-100	-0.20442061	-100.0	-0.2282114	-100	-0.20310655	-100	-0.1865018	-100	-0.22722739	-100.0	-0.14171447	-100	-0.1653607	-100	-0.26927316	-100	-0.1426209	-100	-0.24622323	-100	-0.21659453	-100
Explain the negative sides of social media use without using bulletins and one question at a time. And make it interactive by asking questions like a teacher	-0.16569535	-100	-0.41014838	-100	-0.21611315	-100	-0.36182556	-100	-0.272152	-100.0	-0.86136985	-100	-0.1413767	-100.0	-0.67744845	-100	-0.1809177	-100	-0.25097334	-100	-0.2825887	-100.0	-0.45615706	-100	-0.74695694	-100	-0.29637414	-100	-0.17732377	-100	-0.19791096	-100	-0.1593819	-100
1.Explain each block (social media algorithms, echo chambers, fake news, body image affected by social media, cyberbullying, social media self-protection skills)  2.Ask me a short question to assess my learning.  3.Provide feedback on my answer.  Repeat steps 1-3 for each block until all blocks are covered.	-0.37071648	-100	-0.4851213	-100	-0.18037196	-100	-0.12106692	-100	-0.12522468	-100.0	-0.1957618	-100	-100.0	-0.7465301	-0.20284793	-100	-0.35786107	-100	-0.24047601	-100	-100.0	-0.7091561	-0.223086	-100	-0.1769292	-100	-0.45138058	-100	-0.16369832	-100	-0.13460039	-100	-0.24568592	-100
Hello! I want to learn more about the negative aspects of social media but in an interactive way. So include me in the conversation by asking questions one at a time	-0.10142486	-100	-0.11061341	-100	-0.20139623	-100	-0.1999165	-100	-0.20919397	-100.0	-0.518837	-100	-0.07310188	-100.0	-0.1256247	-100	-0.23836185	-100	-0.1664019	-100	-0.2030702	-100.0	-0.120565444	-100	-0.15972567	-100	-0.1457454	-100	-0.10420326	-100	-0.11307431	-100	-0.1458016	-100
Hello, I want you to behave as my fun and engaging teacher and teach me different aspects of the negative sides of social media. Ask questions about different aspects and wait for my answer. Keep doing it until all the aspects are covered one by one.	-0.25486633	-100	-0.16482513	-100	-0.25133592	-100	-0.23177326	-100	-0.23814832	-100.0	-0.14887783	-100	-0.1252386	-100.0	-0.30725554	-100	-0.1700792	-100	-0.11292648	-100	-0.31957388	-100.0	-0.37325555	-100	-0.17817923	-100	-0.3404539	-100	-0.13482428	-100	-0.16503334	-100	-0.118413046	-100
Hello, I want you to behave as my fun and engaging teacher and  teach me different aspects about the negative sides of social media.* Ask questions about different aspects and give me feedback about my answer's competence. Keep doing it until all the aspects are covered one by one	-0.10795216	-100	-0.19929618	-100	-0.26734623	-100	-0.17571534	-100	-0.16282287	-100.0	-0.15804204	-100	-0.14280857	-100.0	-0.22891347	-100	-0.3001758	-100	-0.19377375	-100	-0.16893853	-100.0	-0.16420624	-100	-0.13677499	-100	-0.30493358	-100	-0.15564966	-100	-0.10147651	-100	-0.3487891	-100
address me as 'Dear' act as: teacher with a sense of humor explain one aspect of how social media algorithms work ask me one short question to assess my learning wait for my answer give feedback about my answer later explain the next point about how social media algorithms work follow this loop until you explain all the aspects	-0.14836925	-100	-0.50490856	-100	-0.2553573	-100	-0.33555534	-100	-0.18060505	-100.0	-0.41869542	-100	-0.23940913	-100.0	-0.32503423	-100	-0.58157605	-100	-0.46630308	-100	-0.63246906	-100.0	-0.18456061	-100	-0.13208528	-100	-0.25282693	-100	-0.13916923	-100	-0.14831188	-100	-0.22782955	-100
act as: a fun teacher  explain one aspect of how social media algorithms work ask me one short question to assess my learning  later explain the next point about how social media algorithms work  follow this loop until you explain all the aspects 	-0.21685164	-100	-0.25182053	-100	-0.19206059	-100	-0.15419297	-100	-0.22726569	-100.0	-0.28939506	-100	-0.17110018	-100.0	-0.42025653	-100	-0.25029853	-100	-0.28912723	-100	-0.28532016	-100.0	-0.17959635	-100	-0.46770695	-100	-0.13663585	-100	-0.2023186	-100	-0.19526817	-100	-0.16553809	-100
Please explain one aspect of democracy and then ask a question to confirm my comprehension in a back-and-forth conversation. Dont stop until all various aspects are discussed	-0.22109494	-100	-0.2942663	-100	-0.25830016	-100	-0.343645	-100	-0.16052209	-100.0	-0.26808068	-100	-0.15785636	-100.0	-0.17005749	-100	-0.4215397	-100	-0.4555427	-100	-0.7542717	-100.0	-0.19495657	-100	-0.9137432	-100	-0.22831467	-100	-0.86679244	-100	-0.1753683	-100	-0.29072392	-100
