prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.23223455	-100	-100	-0.63497424	-0.12919945	-100	-100	-0.27676088	-100	-0.48204735	-100	-0.6303169	-100	-0.20879312	-100	-0.5017612	-0.43423563	-100	-100	-0.40983534	-0.3154042	-100	-0.068966925	-100	-100	-0.5013784	-100	-0.4759401	-100	-0.3416416	-100	-0.11431271	-0.112033695	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-100	-0.49986932	-0.3967393	-100	-0.25503486	-100	-0.23549753	-100	-0.6737993	-100	-100	-0.69343376	-0.15216076	-100	-0.5495042	-100	-0.12819551	-100	-0.47675782	-100	-0.1651698	-100	-0.22898382	-100	-0.91343015	-100	-100	-0.57593477	-0.65321183	-100	-100	-0.6008542	-0.23259914	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.29272595	-100	-100	-0.33784106	-0.43044618	-100	-100	-0.95815206	-100	-0.8171635	-0.15055454	-100	-0.506918	-100	-0.31079382	-100	-100	-0.59197074	-0.26207176	-100	-0.37852013	-100	-0.13305946	-100	-0.15992162	-100	-0.8214871	-100	-0.21741897	-100	-0.23020464	-100	-0.22706714	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.34181544	-100	-0.5519378	-100	-0.53052545	-100	-0.23403364	-100	-0.19012968	-100	-0.9941357	-100	-0.17653951	-100	-100	-0.46772245	-0.21799716	-100	-0.20368174	-100	-0.46314716	-100	-0.1310116	-100	-0.2230442	-100	-0.42319798	-100	-0.09503562	-100	-0.14662574	-100	-0.10679869	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-100	-0.22235577	-100	-0.6896008	-0.17883904	-100	-100	-0.34303078	-0.56689775	-100	-0.3948775	-100	-0.11432554	-100	-100	-0.62984735	-100	-0.5805391	-0.17010336	-100	-0.76984584	-100	-0.065383285	-100	-0.6137095	-100	-0.49106124	-100	-0.29659447	-100	-0.25101197	-100	-100	-0.7139168
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.35270458	-100	-0.19878319	-100	-0.58441323	-100	-0.46760297	-100	-0.44336575	-100	-0.48660088	-100	-0.23153903	-100	-0.26272166	-100	-0.41151887	-100	-0.21375258	-100	-0.26647374	-100	-0.1561363	-100	-0.4598837	-100	-0.41921628	-100	-0.38047385	-100	-0.59759146	-100	-0.23481822	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.59586287	-100	-100	-0.5344611	-0.802236	-100	-0.609268	-100	-0.5554228	-100	-0.91509	-100	-0.5416733	-100	-0.96900284	-100	-0.84148175	-100	-0.4759378	-100	-0.42792067	-100	-0.2946799	-100	-0.31169814	-100	-100	-0.72226715	-100	-0.44072208	-100	-1.0502987	-0.4303642	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.19491811	-100	-0.40488788	-100	-0.5703961	-100	-0.4525822	-100	-100	-0.26542175	-0.70405155	-100	-0.2106551	-100	-0.6397422	-100	-0.20601408	-100	-0.53888315	-100	-0.40455762	-100	-0.6493632	-100	-0.2184865	-100	-0.22336431	-100	-0.6231675	-100	-0.41390318	-100	-0.16989088	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.99431527	-100	-0.72748405	-100	-0.45536816	-100	-0.74356055	-100	-0.37884057	-100	-0.70160127	-100	-0.23788925	-100	-0.58078766	-100	-0.5328962	-100	-0.5989668	-100	-0.6779713	-100	-0.34208468	-100	-0.6728905	-100	-0.9393545	-100	-0.6022663	-100	-0.3806677	-100	-0.30006275	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-100	-0.27792004	-100	-0.33464333	-100	-0.24394853	-100	-0.29274404	-100	-0.44413325	-100	-0.48563373	-100	-0.2066294	-100	-0.45931005	-100	-0.3482201	-100	-0.65349066	-100	-0.18094842	-100	-0.14865477	-100	-0.43584824	-100	-0.58875287	-100	-0.36934316	-100	-0.19507785	-100	-0.29651222
Explain the negative sides of social media use without using bulletins and ask one question at a time. And make it interactive by asking questions like a teacher	-0.278574	-100	-0.35960522	-100	-0.9769858	-100	-100	-0.76976174	-100	-0.42111084	-0.7009653	-100	-100	-0.67641973	-100	-0.65919065	-0.5343834	-100	-0.2265923	-100	-0.3055231	-100	-0.21050258	-100	-100	-0.22093643	-100	-0.39797962	-0.23027846	-100	-0.15719183	-100	-0.4784595	-100
Teach me about the bad sides of social media use. Ask questions to assess my understanding. No bulletins, one question at a time.	-0.33948386	-100	-0.33386618	-100	-0.4018927	-100	-0.55917096	-100	-0.42966837	-100	-0.56419975	-100	-100	-0.4698897	-0.33698958	-100	-0.2970655	-100	-0.60630417	-100	-100	-0.64627755	-0.13987899	-100	-100	-0.44761083	-100	-0.60332215	-0.27333686	-100	-0.9282733	-100	-0.20061652	-100
Explain the negative sides of social media use without using bulletins and one question at a time. And make it interactive by asking questions like a teacher	-100	-0.6488219	-100	-0.2820653	-100	-0.52551234	-100	-0.44806272	-0.44374582	-100	-100	-0.635271	-0.39261442	-100	-100	-0.15760805	-100	-0.6480594	-100	-0.26158834	-100	-0.43838754	-0.20337117	-100	-0.19426231	-100	-100	-0.6931543	-100	-0.54872954	-100	-0.3167582	-100	-0.9567559
1.Explain each block (social media algorithms, echo chambers, fake news, body image affected by social media, cyberbullying, social media self-protection skills)  2.Ask me a short question to assess my learning.  3.Provide feedback on my answer.  Repeat steps 1-3 for each block until all blocks are covered.	-100	-0.3341598	-0.6678613	-100	-100	-0.5422697	-100	-0.20286222	-100	-0.381958	-0.41966227	-100	-100	-0.5181025	-0.30550125	-100	-100	-0.3024292	-100	-0.22742401	-0.46985558	-100	-0.35828796	-100	-0.52805495	-100	-100	-0.31598794	-100	-0.29683617	-0.63942116	-100	-100	-0.2912419
Hello! I want to learn more about the negative aspects of social media but in an interactive way. So include me in the conversation by asking questions one at a time	-0.24283478	-100	-100	-0.28889334	-0.65595067	-100	-0.28606907	-100	-100	-0.49190012	-100	-0.668137	-0.2910706	-100	-0.1795353	-100	-0.22352916	-100	-0.12221458	-100	-0.22023623	-100	-0.37949032	-100	-100	-0.16037837	-100	-0.55482966	-0.06566121	-100	-100	-0.4793421	-0.41836143	-100
Hello, I want you to behave as my fun and engaging teacher and teach me different aspects of the negative sides of social media. Ask questions about different aspects and wait for my answer. Keep doing it until all the aspects are covered one by one.	-0.57572466	-100	-0.61330545	-100	-100	-0.59035426	-100	-0.68065894	-0.6776192	-100	-0.540245	-100	-100	-0.49728656	-0.63241106	-100	-0.654587	-100	-0.47827378	-100	-100	-0.4736605	-0.13629965	-100	-100	-0.6526528	-0.28729442	-100	-0.7789861	-100	-0.4422818	-100	-0.15730694	-100
Hello, I want you to behave as my fun and engaging teacher and  teach me different aspects about the negative sides of social media.* Ask questions about different aspects and give me feedback about my answer's competence. Keep doing it until all the aspects are covered one by one	-100	-0.8295778	-0.62177485	-100	-0.6551782	-100	-100	-0.98659086	-0.57055116	-100	-0.5750625	-100	-0.50316733	-100	-0.37952313	-100	-100	-0.3120516	-0.2094963	-100	-0.7124461	-100	-0.10059468	-100	-0.3545954	-100	-0.5629859	-100	-0.18336482	-100	-0.3233997	-100	-0.6463403	-100
address me as 'Dear' act as: teacher with a sense of humor explain one aspect of how social media algorithms work ask me one short question to assess my learning wait for my answer give feedback about my answer later explain the next point about how social media algorithms work follow this loop until you explain all the aspects	-100	-0.1407043	-0.44461802	-100	-100	-0.64209867	-100	-0.5321569	-100	-0.6430785	-100	-0.6050904	-100	-0.6146429	-100	-0.46346405	-100	-0.2842346	-0.55730087	-100	-100	-0.7658247	-100	-0.6736673	-100	-0.55097884	-100	-0.29452962	-100	-1.0498687	-100	-0.6546561	-100	-0.75472647
act as: a fun teacher  explain one aspect of how social media algorithms work ask me one short question to assess my learning  later explain the next point about how social media algorithms work  follow this loop until you explain all the aspects 	-100	-0.25431383	-100	-0.32138285	-100	-0.49601832	-100	-0.5441764	-100	-0.3322343	-100	-0.5959469	-100	-0.50524664	-100	-0.16485514	-100	-0.9148802	-100	-0.46544257	-0.28429323	-100	-100	-0.39499047	-100	-0.5692724	-100	-0.5788958	-100	-0.28128403	-100	-0.7100986	-100	-0.60019904
Please explain one aspect of democracy and then ask a question to confirm my comprehension in a back-and-forth conversation. Dont stop until all various aspects are discussed	-100	-0.1400076	-100	-0.61299837	-100	-0.56766725	-100	-0.41331416	-100	-1.2203102	-100	-0.32595482	-100	-0.5094759	-0.30442786	-100	-0.6107114	-100	-100	-0.5276906	-100	-0.4191008	-0.15050875	-100	-100	-0.4958494	-100	-0.64654565	-0.41740322	-100	-0.1429969	-100	-100	-0.56638306
