eval_prompt	Topic - concise(1,NaN)_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_Y	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_Y	1 Goal (1,NaN)_N	2 Goals (1,NaN)_Y	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_N	AI role play (1,NaN)_Y	AI role play (1,NaN)_N	Role form/context(1,NaN)_Y	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_Y	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_Y	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_Y	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_Y	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.14329119	-100	-0.20385164	-100.0	-0.31966925	-100.0	-0.34149298	-100.0	-0.27771348	-100.0	-0.2830136	-100.0	-0.23376305	-100.0	-100.0	-0.9588831	-0.3321182	-100	-0.24199189	-100	-0.16450784	-100.0	-100.0	-0.7443291	-0.19762427	-100.0	-100.0	-0.81155115	-0.46071637	-100.0	-0.1791338	-100.0	-0.4495582	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.21794017	-100	-0.5178519	-100.0	-0.17125113	-100.0	-0.31577817	-100.0	-0.34227327	-100.0	-0.16730858	-100.0	-0.20891973	-100.0	-0.3523513	-100.0	-0.24320222	-100	-0.19507074	-100	-0.38279822	-100.0	-0.35533375	-100.0	-0.24971503	-100.0	-0.64474267	-100.0	-0.18528159	-100.0	-0.18605019	-100.0	-0.33817586	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.16026732	-100	-0.28599304	-100.0	-0.10682609	-100.0	-0.14916141	-100.0	-0.4066026	-100.0	-0.16997442	-100.0	-0.20234355	-100.0	-0.13130866	-100.0	-0.34940362	-100	-0.21020974	-100	-0.2804957	-100.0	-0.20524542	-100.0	-0.2265606	-100.0	-0.46116772	-100.0	-0.21284117	-100.0	-0.21150267	-100.0	-0.2858924	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.21082155	-100	-0.4772695	-100.0	-0.20869675	-100.0	-0.2084079	-100.0	-0.29805502	-100.0	-0.1962456	-100.0	-0.20541976	-100.0	-0.23871966	-100.0	-0.20324881	-100	-0.17225718	-100	-0.21742527	-100.0	-0.26961878	-100.0	-0.21651459	-100.0	-0.17105167	-100.0	-0.19179347	-100.0	-0.11774825	-100.0	-0.20137472	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.12097948	-100	-0.17492077	-100.0	-0.18349886	-100.0	-0.18657018	-100.0	-0.27277207	-100.0	-0.18593247	-100.0	-0.18686257	-100.0	-0.21494068	-100.0	-0.31036726	-100	-0.19749935	-100	-0.18775038	-100.0	-0.24403913	-100.0	-0.25532597	-100.0	-0.1999842	-100.0	-0.1339848	-100.0	-0.16900931	-100.0	-0.17551877	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.21604976	-100	-0.21090972	-100.0	-0.22675745	-100.0	-0.19907735	-100.0	-0.24010886	-100.0	-0.1694602	-100.0	-0.18575554	-100.0	-0.2725737	-100.0	-0.24322185	-100	-0.24232715	-100	-0.18794917	-100.0	-0.32198152	-100.0	-0.1778933	-100.0	-0.24689922	-100.0	-0.3712215	-100.0	-0.23755805	-100.0	-0.314248	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.108120754	-100	-0.15063556	-100.0	-0.30703366	-100.0	-0.21491364	-100.0	-0.22671238	-100.0	-0.15054339	-100.0	-0.18966144	-100.0	-0.29775402	-100.0	-0.5232188	-100	-0.17529139	-100	-0.17124166	-100.0	-0.24074154	-100.0	-0.116145484	-100.0	-0.13009875	-100.0	-0.17555244	-100.0	-0.19772203	-100.0	-0.5448551	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.14954828	-100	-0.1887303	-100.0	-0.30270016	-100.0	-0.25672492	-100.0	-0.2618383	-100.0	-0.3011143	-100.0	-0.16522808	-100.0	-0.26069885	-100.0	-0.21444176	-100	-0.30767915	-100	-0.21521415	-100.0	-0.22245339	-100.0	-0.24333665	-100.0	-0.243114	-100.0	-0.30618146	-100.0	-0.26972762	-100.0	-0.23737915	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.20083451	-100	-0.26059476	-100.0	-0.283874	-100.0	-0.3244761	-100.0	-0.39143774	-100.0	-0.19756979	-100.0	-0.34512517	-100.0	-0.26701212	-100.0	-0.39548695	-100	-0.1783824	-100	-0.26696634	-100.0	-0.2554271	-100.0	-0.21406338	-100.0	-0.31779936	-100.0	-0.17949058	-100.0	-0.38192612	-100.0	-0.34232613	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.25584656	-100	-100.0	-0.7627155	-0.8093259	-100.0	-100.0	-0.7175535	-100.0	-0.5847889	-100.0	-0.4813625	-0.51671004	-100.0	-0.53072244	-100.0	-0.31641307	-100	-0.4493054	-100	-100.0	-0.88424146	-0.22752456	-100.0	-100.0	-0.6891611	-100.0	-0.48804677	-0.7791392	-100.0	-0.41419193	-100.0	-0.40320262	-100
