prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.44716758	-100	-0.42572847	-100	-0.37405023	-100	-0.51424634	-100	-0.26573116	-100	-100	-0.6468002	-0.31021786	-100	-0.91494787	-100	-0.46051368	-100	-0.34788042	-100	-0.821398	-100	-0.2316144	-100	-0.50039387	-100	-0.32994232	-100	-0.28640214	-100	-0.646392	-100	-0.7065745	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.25895357	-100	-0.48056155	-100	-0.23370343	-100	-0.24498814	-100	-0.2706625	-100	-0.77974516	-100	-0.25383133	-100	-0.48565146	-100	-100	-0.7134183	-0.1616497	-100	-100	-0.8434575	-0.15978147	-100	-0.66449654	-100	-0.5550825	-100	-0.17836715	-100	-0.61673504	-100	-0.63145685	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.34255448	-100	-0.46550182	-100	-0.28725207	-100	-0.27649146	-100	-0.22757493	-100	-0.57896286	-100	-0.1766961	-100	-0.26838902	-100	-0.31081912	-100	-0.20771974	-100	-0.29769415	-100	-0.23867917	-100	-0.17378749	-100	-0.6379521	-100	-0.11498759	-100	-0.18481226	-100	-0.3969117	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.21915947	-100	-0.33132416	-100	-0.20260958	-100	-0.2571233	-100	-0.89626104	-100	-0.23310876	-100	-0.23798469	-100	-0.17564878	-100	-0.18550414	-100	-0.45172578	-100	-0.26392183	-100	-0.18632613	-100	-0.38834608	-100	-0.13017742	-100	-0.2855709	-100	-0.21996689	-100	-0.44416746	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.32095897	-100	-0.48331985	-100	-0.31603953	-100	-0.22953203	-100	-0.23499575	-100	-0.20381862	-100	-0.20323859	-100	-0.18009758	-100	-0.26235723	-100	-0.16206715	-100	-0.38074616	-100	-0.1919932	-100	-0.19433028	-100	-0.16052175	-100	-0.16834672	-100	-0.31666803	-100	-0.39615825	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.2730696	-100	-0.17044462	-100	-0.25443283	-100	-0.27972624	-100	-0.20918128	-100	-0.2736697	-100	-0.21691471	-100	-0.17963845	-100	-0.19966553	-100	-0.18080308	-100	-0.24966294	-100	-0.1434715	-100	-0.16638057	-100	-0.28908363	-100	-0.16336004	-100	-0.35807866	-100	-0.32408124	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.10745623	-100	-0.27686065	-100	-0.287876	-100	-0.15733504	-100	-0.23920137	-100	-0.20146891	-100	-0.16279945	-100	-0.25162897	-100	-0.33281338	-100	-0.16681632	-100	-0.2399828	-100	-0.13222384	-100	-0.19097906	-100	-0.30245954	-100	-0.19917184	-100	-0.20307793	-100	-0.2773306	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.264011	-100	-0.20191216	-100	-0.29806066	-100	-0.16858727	-100	-0.2907571	-100	-0.24569094	-100	-0.14672044	-100	-0.18589205	-100	-0.14085807	-100	-0.17409845	-100	-0.22630629	-100	-0.12043016	-100	-0.15103428	-100	-0.20372012	-100	-0.22762597	-100	-0.36198422	-100	-0.18447042	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.3066943	-100	-0.1942206	-100	-0.3230442	-100	-0.21639833	-100	-0.11170233	-100	-0.16848716	-100	-0.13803694	-100	-0.14621654	-100	-0.3394063	-100	-0.37364355	-100	-0.31947216	-100	-0.14324738	-100	-0.17223968	-100	-0.6558781	-100	-0.15214932	-100	-100	-0.4665737	-0.6518862	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.69110626	-100	-0.7560555	-100	-0.60240406	-100	-100	-0.2904437	-100	-0.17449678	-100	-0.41306856	-0.5745881	-100	-100	-0.80831754	-0.1773237	-100	-100	-0.808219	-100	-0.33598554	-100	-0.5501998	-100	-0.2953242	-100	-0.27250788	-100	-0.33982986	-0.63174975	-100	-100	-0.54770595
