prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.54526293	-100	-100	-0.661987	-0.40677303	-100	-0.27925834	-100	-100	-0.58118635	-0.7461405	-100	-100	-0.55904955	-0.83880305	-100	-0.37110162	-100	-0.6524522	-100	-0.35438323	-100	-0.3810638	-100	-0.23198588	-100	-0.84396136	-100	-100	-0.5416746	-0.47073677	-100	-0.5838874	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.43611017	-100	-0.3589924	-100	-0.36941397	-100	-0.47659943	-100	-0.3472981	-100	-0.16991366	-100	-0.36016852	-100	-0.23375335	-100	-0.31485236	-100	-100	-0.5872083	-0.18082409	-100	-0.16902858	-100	-0.77271205	-100	-0.72493654	-100	-0.17502528	-100	-100	-0.67568934	-0.37010804	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.17998356	-100	-0.16634959	-100	-0.20682853	-100	-0.29044634	-100	-0.17780448	-100	-0.3391933	-100	-0.2246614	-100	-0.19675289	-100	-0.17888422	-100	-0.23941891	-100	-0.31946552	-100	-0.13459417	-100	-0.2964212	-100	-0.27754644	-100	-0.18754776	-100	-0.44394955	-100	-0.17872444	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.25424996	-100	-0.5222427	-100	-0.3638049	-100	-0.19170322	-100	-0.15686008	-100	-0.28697526	-100	-0.20844586	-100	-0.2286169	-100	-0.28718704	-100	-0.29325634	-100	-0.22519177	-100	-0.21458921	-100	-0.20715933	-100	-0.1963311	-100	-0.12799579	-100	-0.15968978	-100	-0.19444712	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.15857148	-100	-0.15672503	-100	-0.24361213	-100	-0.2216156	-100	-0.25067592	-100	-0.26401612	-100	-0.16887811	-100	-0.24675328	-100	-0.2815069	-100	-0.35235393	-100	-0.21668017	-100	-0.19290657	-100	-0.20242201	-100	-0.2331193	-100	-0.17870341	-100	-0.15202968	-100	-0.31785613	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.25987518	-100	-0.1983372	-100	-0.33048984	-100	-0.3409219	-100	-0.52642065	-100	-0.21853676	-100	-0.21091974	-100	-0.3417873	-100	-0.40695557	-100	-0.2088681	-100	-0.19172466	-100	-0.18813495	-100	-0.3818284	-100	-0.2020479	-100	-0.16919085	-100	-0.47906616	-100	-0.26490977	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-100	-0.61313635	-0.23314406	-100	-0.29133907	-100	-0.19890891	-100	-0.22568412	-100	-0.1973722	-100	-0.1568211	-100	-0.19366111	-100	-0.1386119	-100	-0.17849448	-100	-0.28783286	-100	-0.13430536	-100	-0.17773664	-100	-0.08903351	-100	-0.24676922	-100	-0.50285095	-100	-0.38222224	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.209524	-100	-0.25570914	-100	-0.26284754	-100	-0.1751462	-100	-0.2037994	-100	-0.27085453	-100	-0.1938663	-100	-0.18877701	-100	-0.3261323	-100	-0.18273076	-100	-0.21567999	-100	-0.16860308	-100	-0.18544078	-100	-0.18772894	-100	-0.13422473	-100	-0.23312134	-100	-0.3104852	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.25478536	-100	-0.34643292	-100	-0.25567296	-100	-0.18597755	-100	-0.18895896	-100	-0.20927274	-100	-0.18514602	-100	-0.1418241	-100	-0.13175273	-100	-0.31778386	-100	-0.22711755	-100	-0.1332039	-100	-0.321087	-100	-0.1713308	-100	-0.18649857	-100	-0.23562796	-100	-0.22563386	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.2791668	-100	-0.66059494	-100	-100	-0.801288	-100	-0.34739807	-100	-0.15353847	-100	-0.35833374	-100	-0.4015439	-0.68811893	-100	-0.43734336	-100	-100	-0.21967633	-100	-0.24229206	-100	-0.42765173	-100	-0.3849928	-100	-0.42824697	-0.8409865	-100	-100	-0.59725314	-0.841989	-100
