prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.2110964	-100	-0.19700052	-100	-0.22088794	-100	-0.6468728	-100	-0.21479999	-100	-0.2655018	-100	-100	-0.7420321	-0.40294683	-100	-0.46235582	-100	-0.6280345	-100	-0.18449149	-100	-0.17978454	-100	-0.42099503	-100	-0.71571624	-100	-100	-0.31027654	-100	-0.48002112	-100	-0.7077166
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.18421197	-100	-0.42872778	-100	-0.098836094	-100	-0.31379285	-100	-100	-0.7387135	-0.47321206	-100	-0.17983684	-100	-100	-0.51418537	-0.2254136	-100	-0.18742932	-100	-0.27596495	-100	-0.19299376	-100	-0.54656345	-100	-100	-0.6584286	-0.3520867	-100	-100	-0.76980555	-0.6505306	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.13486294	-100	-0.29134807	-100	-0.26597053	-100	-0.30210447	-100	-0.25228703	-100	-0.34515	-100	-0.23373695	-100	-0.18377122	-100	-0.41018686	-100	-0.1371192	-100	-0.3642713	-100	-0.11237744	-100	-0.40374577	-100	-0.5417639	-100	-0.17216718	-100	-0.5270038	-100	-0.20622605	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.13033243	-100	-0.11258888	-100	-0.21115065	-100	-0.23762095	-100	-0.19162905	-100	-0.29558805	-100	-0.1984023	-100	-0.24932857	-100	-0.1787188	-100	-0.14329657	-100	-0.283654	-100	-0.37205184	-100	-0.32580373	-100	-0.20995861	-100	-0.23477978	-100	-100	-0.8375226	-0.30593443	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.14479956	-100	-0.19448839	-100	-0.14639848	-100	-0.23654431	-100	-0.1978416	-100	-0.22508897	-100	-0.1755201	-100	-0.36569858	-100	-0.18532757	-100	-0.19423763	-100	-0.25999278	-100	-0.17572387	-100	-0.20958184	-100	-0.20226489	-100	-0.32449448	-100	-0.36150485	-100	-0.33812615	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.13397022	-100	-0.2154535	-100	-0.2818932	-100	-0.11579709	-100	-0.15104267	-100	-0.5224789	-100	-0.16941439	-100	-0.5468343	-100	-0.16968054	-100	-0.20755622	-100	-0.3178608	-100	-0.13177542	-100	-0.33600965	-100	-0.21280569	-100	-0.17772917	-100	-0.15732563	-100	-0.55935925	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.14427945	-100	-0.2312408	-100	-0.29565966	-100	-0.15347917	-100	-0.25153098	-100	-0.16422191	-100	-0.14233835	-100	-0.15093966	-100	-0.18850279	-100	-0.13628954	-100	-0.15357369	-100	-0.15025976	-100	-0.18802626	-100	-0.23598492	-100	-0.1701955	-100	-0.13754822	-100	-0.14397179	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.19120717	-100	-0.1652167	-100	-0.18342547	-100	-0.18697982	-100	-0.102461696	-100	-0.45542708	-100	-0.15369385	-100	-0.2533014	-100	-0.14870976	-100	-0.21294464	-100	-0.14024417	-100	-0.14029554	-100	-0.22803602	-100	-0.27965015	-100	-0.16980407	-100	-0.29956946	-100	-0.14099526	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.18325943	-100	-0.6358164	-100	-0.27798378	-100	-0.13925117	-100	-0.21443394	-100	-0.1392061	-100	-0.19601889	-100	-0.12503263	-100	-0.1967371	-100	-0.3436681	-100	-0.30113956	-100	-0.1711574	-100	-0.17866507	-100	-0.55902165	-100	-0.19980235	-100	-0.3511195	-100	-0.39439824	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.18628132	-100	-100	-0.55315405	-100	-0.5625403	-100	-0.37417692	-100	-0.2949668	-0.66254795	-100	-100	-0.37045917	-100	-0.37523887	-0.7599212	-100	-0.6711951	-100	-100	-0.15204315	-100	-0.24258398	-100	-0.26425418	-100	-0.1992726	-100	-0.52829903	-100	-0.9298024	-100	-0.28150722
