prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.3169897	-100	-0.62262976	-100	-0.25375205	-100	-0.33307207	-100	-100	-0.4025388	-0.48227236	-100	-0.25967932	-100	-0.85921067	-100	-100	-0.5098428	-0.26069468	-100	-0.30481175	-100	-0.20405073	-100	-0.20385559	-100	-0.32941282	-100	-0.40102106	-100	-0.41001907	-100	-0.8711058	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.09464084	-100	-0.41072702	-100	-0.24200398	-100	-0.5798103	-100	-0.439539	-100	-0.4913343	-100	-0.16650319	-100	-0.28080782	-100	-0.3874997	-100	-0.2914074	-100	-100	-0.9123028	-0.267081	-100	-0.87655735	-100	-0.35480782	-100	-0.12639707	-100	-0.37476087	-100	-0.43057334	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.20582932	-100	-0.40031323	-100	-0.47613806	-100	-0.21144031	-100	-0.34841812	-100	-100	-0.8007184	-0.150994	-100	-100	-0.7607517	-0.48460683	-100	-0.19629005	-100	-0.7623571	-100	-0.20998037	-100	-0.31808197	-100	-100	-0.83164996	-0.30021894	-100	-0.29701295	-100	-0.2546472	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.1521657	-100	-0.37500036	-100	-0.3002384	-100	-0.13897662	-100	-0.6731129	-100	-100	-0.96081614	-0.29365212	-100	-0.32657823	-100	-0.37470582	-100	-0.21786533	-100	-0.26275164	-100	-0.2219132	-100	-0.7837101	-100	-0.48483494	-100	-0.1346726	-100	-0.47269043	-100	-0.19070171	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.17039253	-100	-0.51680034	-100	-0.31978166	-100	-0.2675879	-100	-0.13682514	-100	-0.36523128	-100	-0.13474768	-100	-0.20723324	-100	-0.33182538	-100	-0.22140376	-100	-0.21290584	-100	-0.20014495	-100	-0.23705864	-100	-0.24515949	-100	-0.23044829	-100	-0.16695797	-100	-0.17442341	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.16564344	-100	-0.19724661	-100	-0.3434342	-100	-0.18094341	-100	-0.6069395	-100	-0.16425887	-100	-0.19957963	-100	-0.19145927	-100	-0.37704983	-100	-0.20720083	-100	-100	-1.0367311	-0.3007324	-100	-0.47295162	-100	-0.13351458	-100	-0.14390509	-100	-0.51010185	-100	-0.4235112	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.24515569	-100	-0.22230501	-100	-0.4366824	-100	-0.23520814	-100	-0.2690137	-100	-0.23078	-100	-0.30788922	-100	-0.31997666	-100	-0.71902704	-100	-0.16855383	-100	-100	-0.79060847	-0.10786379	-100	-0.13699268	-100	-0.3014798	-100	-0.12210473	-100	-0.3263221	-100	-100	-0.8413544
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.35143515	-100	-0.31300205	-100	-0.33654252	-100	-0.35148928	-100	-0.47630867	-100	-0.67968535	-100	-0.18213138	-100	-0.5339244	-100	-0.50239825	-100	-0.43970144	-100	-0.6983478	-100	-0.1737816	-100	-0.2626677	-100	-0.16680893	-100	-0.17299826	-100	-0.5151166	-100	-0.3097518	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.21087867	-100	-0.3514096	-100	-0.24285854	-100	-0.1334532	-100	-0.18811986	-100	-100	-0.4156198	-0.110041566	-100	-0.21265799	-100	-0.19992056	-100	-0.36692965	-100	-0.22036363	-100	-0.16216402	-100	-0.4005826	-100	-0.43741053	-100	-0.14225912	-100	-0.60570544	-100	-0.26317325	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-100	-0.6938197	-100	-0.8396297	-100	-0.8071897	-100	-0.21525723	-100	-0.19723615	-100	-0.57957333	-100	-0.44666368	-100	-0.33955276	-100	-0.56996953	-0.83241016	-100	-100	-0.22702211	-100	-0.61719745	-0.8877693	-100	-100	-0.19517659	-0.71978503	-100	-0.7412932	-100	-100	-0.51294965
