prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.19413541	-100	-100	-0.64698654	-0.51035196	-100	-0.28690085	-100	-100	-0.3164197	-0.21201117	-100	-0.49461544	-100	-0.51692986	-100	-0.4270786	-100	-0.3272081	-100	-0.36970255	-100	-0.45523256	-100	-0.49942505	-100	-0.6014033	-100	-100	-0.6595192	-0.47442386	-100	-0.37425533	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.19730441	-100	-100	-0.8570795	-0.17642695	-100	-0.2154813	-100	-0.5115245	-100	-0.20559837	-100	-0.2926605	-100	-0.5094252	-100	-0.85230714	-100	-0.19730592	-100	-0.17101644	-100	-0.47139835	-100	-0.52417856	-100	-0.27938262	-100	-0.1713445	-100	-0.19910805	-100	-100	-0.43780264
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.14562362	-100	-0.29541814	-100	-0.26677737	-100	-0.14149624	-100	-100	-0.5828416	-0.19209953	-100	-0.17022277	-100	-0.26876715	-100	-0.5946023	-100	-0.24988472	-100	-0.29001948	-100	-0.2060356	-100	-0.36143324	-100	-0.39159766	-100	-0.21213098	-100	-0.3523322	-100	-0.27165407	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.1863835	-100	-0.7109198	-100	-0.3151882	-100	-0.25602248	-100	-0.49734128	-100	-0.36479482	-100	-0.1533259	-100	-0.2009366	-100	-0.16125323	-100	-0.23405679	-100	-0.26004425	-100	-0.46070984	-100	-0.41299757	-100	-0.3505647	-100	-0.14664383	-100	-0.17445838	-100	-0.29652888	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.21522322	-100	-0.32078144	-100	-0.37888643	-100	-0.24454756	-100	-0.16950837	-100	-0.22617611	-100	-0.2547866	-100	-0.2280716	-100	-0.40414757	-100	-0.17893498	-100	-0.9082591	-100	-0.16171184	-100	-0.36163208	-100	-0.32551464	-100	-0.24599285	-100	-0.15872522	-100	-0.32867512	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.2259192	-100	-0.24691579	-100	-0.28226987	-100	-0.25256383	-100	-0.32150263	-100	-0.2591691	-100	-0.17178328	-100	-0.13399142	-100	-0.516074	-100	-0.15085447	-100	-0.29027963	-100	-0.2586631	-100	-0.24797691	-100	-100	-0.6402249	-0.21559356	-100	-0.27400157	-100	-0.42849982	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.18877521	-100	-0.61091155	-100	-0.3618356	-100	-0.14602733	-100	-0.18295726	-100	-0.13143054	-100	-0.19207352	-100	-0.23279983	-100	-0.5528399	-100	-0.16600148	-100	-100	-0.82666653	-0.15098478	-100	-0.53516424	-100	-0.13842466	-100	-0.16856046	-100	-0.1970917	-100	-0.31955314	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.2601895	-100	-100	-0.73984736	-0.2987189	-100	-0.33858237	-100	-0.18275361	-100	-0.7634259	-100	-0.25815323	-100	-0.64693177	-100	-0.15726565	-100	-0.24882835	-100	-0.3195884	-100	-0.1510564	-100	-0.37220317	-100	-0.17548764	-100	-0.5813747	-100	-0.33912772	-100	-0.29265356	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.21208471	-100	-0.22179602	-100	-0.3412923	-100	-0.20943521	-100	-0.37132207	-100	-0.3702444	-100	-0.3557603	-100	-0.47327197	-100	-0.53271997	-100	-0.23551776	-100	-0.33976138	-100	-0.20150521	-100	-0.2019581	-100	-0.23139562	-100	-0.10419327	-100	-0.20945823	-100	-0.55409193	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.3558326	-100	-100	-0.8387066	-0.74327326	-100	-100	-0.39235505	-100	-0.2572574	-100	-0.72335476	-0.61208504	-100	-100	-0.31081873	-100	-0.6479583	-0.43112862	-100	-100	-0.8847161	-100	-0.6672062	-100	-0.44686046	-100	-0.308046	-100	-0.62382954	-0.20574701	-100	-0.84956104	-100
