prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.15163466	-100	-100	-0.82678235	-0.19477782	-100	-0.22953023	-100	-0.22945473	-100	-0.45488155	-100	-0.39034387	-100	-0.30739647	-100	-0.32571796	-100	-0.33519274	-100	-100	-0.5620182	-0.29077816	-100	-100	-0.7427132	-0.30418053	-100	-100	-0.54563	-0.3152368	-100	-0.3853662	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.10065631	-100	-0.6379077	-100	-0.36390352	-100	-0.53781056	-100	-0.339338	-100	-0.16811934	-100	-0.24119523	-100	-0.30051368	-100	-0.47055814	-100	-0.34524497	-100	-100	-1.0233908	-0.207792	-100	-0.2972352	-100	-0.561514	-100	-100	-0.44477934	-0.3241799	-100	-0.48274606	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.39457482	-100	-0.81035	-100	-0.26816502	-100	-0.24470618	-100	-0.26186338	-100	-0.61516213	-100	-0.18661241	-100	-0.26440945	-100	-0.1863958	-100	-0.26882464	-100	-0.6974022	-100	-0.25896654	-100	-0.38802654	-100	-100	-0.796955	-0.29940733	-100	-0.662475	-100	-0.28973037	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.17658624	-100	-0.560911	-100	-0.2725665	-100	-0.14610237	-100	-0.5396643	-100	-0.22332622	-100	-0.25204062	-100	-0.16975378	-100	-0.17883298	-100	-0.25580046	-100	-100	-0.73852634	-0.22295421	-100	-0.40016425	-100	-0.6465058	-100	-0.13500899	-100	-0.15315638	-100	-0.25220874	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.10602944	-100	-0.28548098	-100	-0.361108	-100	-0.35936084	-100	-0.36581826	-100	-0.3871476	-100	-0.26762056	-100	-0.53163207	-100	-0.25145426	-100	-0.33028266	-100	-0.48937824	-100	-0.20068362	-100	-0.335963	-100	-0.3240074	-100	-0.1593556	-100	-0.2817321	-100	-0.26327348	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.30569464	-100	-0.35598534	-100	-0.19166537	-100	-0.15953541	-100	-0.6362156	-100	-100	-0.7673559	-0.2135413	-100	-0.39037699	-100	-0.40765515	-100	-0.16180532	-100	-1.0514039	-100	-0.1833386	-100	-0.23895949	-100	-0.5196665	-100	-0.61478376	-100	-0.19686525	-100	-0.1675529	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.17971371	-100	-0.26197538	-100	-0.23590133	-100	-0.19388619	-100	-0.133421	-100	-0.23604365	-100	-0.51219124	-100	-0.35303098	-100	-0.28873056	-100	-0.17814867	-100	-0.32463363	-100	-0.24718055	-100	-0.09896013	-100	-0.12215571	-100	-0.16352141	-100	-100	-0.7666625	-0.16731028	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.26917627	-100	-0.33634043	-100	-0.462095	-100	-0.22214848	-100	-0.19952136	-100	-0.29360375	-100	-0.1511117	-100	-0.6179013	-100	-0.5274692	-100	-0.25430554	-100	-0.36354363	-100	-0.19425304	-100	-0.39992383	-100	-0.21295339	-100	-0.29784957	-100	-0.25735694	-100	-100	-0.69157815
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.39742243	-100	-0.38644183	-100	-0.2843711	-100	-0.16105267	-100	-0.50083053	-100	-0.6564796	-100	-0.2902233	-100	-0.22956434	-100	-0.2896916	-100	-0.5080428	-100	-0.3872104	-100	-0.31113654	-100	-0.1983712	-100	-0.12777875	-100	-0.10330209	-100	-0.23608154	-100	-0.18336008	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.7020995	-100	-100	-0.6364895	-100	-0.8048519	-100	-0.94439596	-100	-0.21398069	-100	-0.32644147	-0.7164044	-100	-0.35552534	-100	-0.33322942	-100	-0.5254968	-100	-100	-0.3471408	-100	-0.8463683	-100	-0.34308726	-100	-0.44605842	-100	-0.7251221	-100	-0.69413346	-100	-0.87842155
