prompt	Topic - concise(1,NaN)_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_Y	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_Y	1 Goal (1,NaN)_N	2 Goals (1,NaN)_Y	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_N	AI role play (1,NaN)_Y	AI role play (1,NaN)_N	Role form/context(1,NaN)_Y	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_Y	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_Y	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_Y	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_Y	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.45829844	-100.0	-100.0	-0.5574694	-0.2745918	-100.0	-0.23706278	-100.0	-0.26645327	-100.0	-0.37817872	-100.0	-0.55438894	-100.0	-0.61589855	-100	-0.7162509	-100	-0.4592142	-100.0	-100.0	-0.4733574	-0.5684687	-100.0	-0.38990638	-100.0	-0.7441469	-100.0	-0.8075212	-100.0	-0.66705436	-100.0	-100.0	-0.69181514
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.17097989	-100.0	-100.0	-0.61510026	-0.41104344	-100.0	-0.18516782	-100.0	-0.31428504	-100.0	-0.33293504	-100.0	-0.35469913	-100.0	-0.6918345	-100	-0.6479985	-100	-0.21019076	-100.0	-0.2891118	-100.0	-0.16120596	-100.0	-0.4188016	-100.0	-0.833214	-100.0	-0.44206452	-100.0	-0.23533213	-100.0	-0.4625969	-100.0
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.3019042	-100.0	-0.6065877	-100.0	-0.48144725	-100.0	-0.17698605	-100.0	-0.60468996	-100.0	-0.33303404	-100.0	-0.26457134	-100.0	-0.29716706	-100	-0.37217897	-100	-0.1865642	-100.0	-100.0	-0.78014165	-0.25794023	-100.0	-0.46804783	-100.0	-0.32747775	-100.0	-0.42298707	-100.0	-0.26299113	-100.0	-0.3521758	-100.0
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.257166	-100.0	-0.2846548	-100.0	-0.50955486	-100.0	-0.16280092	-100.0	-100.0	-0.7246545	-0.24274245	-100.0	-0.08605737	-100.0	-0.46843174	-100	-0.22001489	-100	-0.20517986	-100.0	-0.2624153	-100.0	-0.26819572	-100.0	-0.8156854	-100.0	-0.31359848	-100.0	-0.18164387	-100.0	-0.29033086	-100.0	-0.27361178	-100.0
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.22257325	-100.0	-0.45839015	-100.0	-0.237077	-100.0	-0.30749828	-100.0	-0.4464964	-100.0	-0.8307776	-100.0	-0.15439048	-100.0	-0.41317162	-100	-0.19025606	-100	-0.22295116	-100.0	-0.22110139	-100.0	-0.20642424	-100.0	-0.1510277	-100.0	-0.27002513	-100.0	-0.20733018	-100.0	-0.16564022	-100.0	-0.3660435	-100.0
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.19618241	-100.0	-0.2481931	-100.0	-0.3044382	-100.0	-0.13710445	-100.0	-0.45497748	-100.0	-0.17172179	-100.0	-0.54541653	-100.0	-0.19694412	-100	-0.47517675	-100	-0.18345223	-100.0	-0.18527506	-100.0	-0.27134573	-100.0	-0.31384206	-100.0	-0.4908096	-100.0	-0.16362657	-100.0	-0.24545765	-100.0	-0.33749032	-100.0
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.1957639	-100.0	-0.6247038	-100.0	-0.22905675	-100.0	-0.278644	-100.0	-0.21284845	-100.0	-0.3091571	-100.0	-0.123216406	-100.0	-0.20991258	-100	-0.52927154	-100	-0.2411357	-100.0	-0.42902952	-100.0	-0.13098192	-100.0	-0.40633097	-100.0	-0.17392443	-100.0	-0.18619846	-100.0	-100.0	-0.4743482	-0.1952462	-100.0
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.25202897	-100.0	-0.47965223	-100.0	-0.3024592	-100.0	-0.35350436	-100.0	-0.23734507	-100.0	-0.28380466	-100.0	-0.19178951	-100.0	-0.17771657	-100	-0.41617632	-100	-0.24843568	-100.0	-0.7469754	-100.0	-0.19638805	-100.0	-0.28673524	-100.0	-0.25720462	-100.0	-0.31431767	-100.0	-0.40759045	-100.0	-0.8768156	-100.0
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.31857994	-100.0	-0.27973017	-100.0	-0.18167932	-100.0	-0.44737864	-100.0	-0.26187214	-100.0	-100.0	-0.76311105	-0.24947283	-100.0	-0.41933668	-100	-0.5386377	-100	-0.2180008	-100.0	-100.0	-0.7481958	-0.23082432	-100.0	-0.19589011	-100.0	-0.31385404	-100.0	-0.121891595	-100.0	-0.2392758	-100.0	-100.0	-0.507506
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.46695754	-100.0	-100.0	-0.84547645	-100.0	-0.565688	-100.0	-0.4482989	-100.0	-0.20252913	-100.0	-0.30051214	-100.0	-0.69591343	-0.9108899	-100	-0.65207165	-100	-0.6045332	-100.0	-100.0	-0.4347407	-100.0	-0.9274803	-100.0	-0.7888848	-100.0	-0.19798282	-100.0	-0.5655892	-0.7169431	-100.0	-100.0	-0.50214857
