prompt	Topic - concise(1,NaN)_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_Y	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_Y	1 Goal (1,NaN)_N	2 Goals (1,NaN)_Y	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_N	AI role play (1,NaN)_Y	AI role play (1,NaN)_N	Role form/context(1,NaN)_Y	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_Y	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_Y	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_Y	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_Y	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.07191118	-100	-0.6429937	-100.0	-0.67717147	-100	-0.2249658	-100.0	-0.607488	-100.0	-0.9025041	-100.0	-0.3870417	-100	-0.39302754	-100	-0.41148442	-100	-0.14182328	-100	-0.784109	-100.0	-0.20221666	-100	-0.78732574	-100	-0.6088222	-100.0	-0.1986899	-100	-0.6075457	-100	-0.49083084	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.09764163	-100	-0.28025398	-100.0	-0.2282975	-100	-0.19590127	-100.0	-0.4354359	-100.0	-0.39365104	-100.0	-0.2694884	-100	-0.2867434	-100	-0.12019884	-100	-0.1328431	-100	-0.38137615	-100.0	-0.13799049	-100	-0.1767257	-100	-0.40592897	-100.0	-0.14841793	-100	-0.17014214	-100	-0.29686946	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.2054312	-100	-0.19177894	-100.0	-0.20746124	-100	-0.17980951	-100.0	-100.0	-0.831966	-0.7567001	-100.0	-0.12204472	-100	-0.39449114	-100	-0.1769502	-100	-0.12872316	-100	-0.21097583	-100.0	-0.19814554	-100	-0.17750448	-100	-0.16786376	-100.0	-0.12270044	-100	-0.17035782	-100	-0.69619095	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.11147701	-100	-0.3007068	-100.0	-0.20339908	-100	-0.1734521	-100.0	-0.23312359	-100.0	-0.18898423	-100.0	-0.13449898	-100	-0.13408826	-100	-0.28244972	-100	-0.3172921	-100	-0.5743863	-100.0	-0.10224346	-100	-0.7590507	-100	-0.19093724	-100.0	-0.07877512	-100	-0.20923284	-100	-0.2773936	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.11808411	-100	-0.1783071	-100.0	-0.18000402	-100	-0.19340569	-100.0	-0.16012083	-100.0	-0.73944414	-100.0	-0.22634777	-100	-0.14151485	-100	-0.17289495	-100	-0.311693	-100	-0.37528712	-100.0	-0.11462161	-100	-0.27297676	-100	-0.5682481	-100.0	-0.14504306	-100	-0.10405707	-100	-0.28918532	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.14658661	-100	-0.19745347	-100.0	-0.28791338	-100	-0.42570814	-100.0	-0.45479092	-100.0	-0.28345093	-100.0	-0.13121371	-100	-0.24455638	-100	-0.22695707	-100	-0.10782794	-100	-0.2977032	-100.0	-0.13372424	-100	-0.15329295	-100	-0.16685788	-100.0	-0.10996192	-100	-0.3205108	-100	-0.16131732	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.140785	-100	-100.0	-0.8642273	-0.16484088	-100	-0.18955055	-100.0	-0.18672419	-100.0	-0.09008429	-100.0	-0.08159909	-100	-0.10111328	-100	-0.14845215	-100	-0.060544014	-100	-0.29659024	-100.0	-0.17621052	-100	-0.21247311	-100	-0.2563036	-100.0	-0.29201776	-100	-0.29057035	-100	-0.25592154	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.10197023	-100	-0.5405715	-100.0	-0.5880457	-100	-0.4657027	-100.0	-100.0	-0.8328422	-0.40261206	-100.0	-0.68019706	-100	-0.14648212	-100	-0.43672243	-100	-0.2406228	-100	-100.0	-0.6975866	-0.11224247	-100	-0.30658123	-100	-0.45187947	-100.0	-0.16544932	-100	-0.71184367	-100	-0.521134	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.32692325	-100	-0.11637682	-100.0	-0.30793294	-100	-0.16414149	-100.0	-0.22657825	-100.0	-100.0	-0.6420881	-0.26587224	-100	-0.099737525	-100	-0.32060337	-100	-0.19067307	-100	-0.6565027	-100.0	-0.16765912	-100	-0.1894515	-100	-0.19646181	-100.0	-0.23370968	-100	-0.73569715	-100	-0.2180169	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.25071308	-100	-0.31131497	-100.0	-0.21654591	-100	-100.0	-0.1927237	-100.0	-0.13779652	-100.0	-1.0126579	-0.23469603	-100	-0.295149	-100	-0.3253916	-100	-0.21149081	-100	-100.0	-0.76120985	-0.4799427	-100	-0.21641311	-100	-0.3680298	-100.0	-0.27769578	-100	-0.28113893	-100	-0.32830715	-100
