prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.23875727	-100	-0.121112145	-100	-0.22864649	-100	-0.10340771	-100	-100	-0.37828422	-100	-0.4224102	-0.08560021	-100	-100	-0.15311858	-100	-0.34216854	-0.61995846	-100	-100	-0.692386	-0.1484281	-100	-100	-0.17413576	-100	-0.4608057	-100	-0.2994995	-100	-0.35514396	-100	-0.3333027
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.20736162	-100	-0.27782112	-100	-100	-0.4255409	-0.16090612	-100	-0.3363746	-100	-0.4609303	-100	-100	-0.49819785	-0.27309987	-100	-1.0425036	-100	-0.17456838	-100	-0.15844877	-100	-0.08494675	-100	-0.37660176	-100	-0.23562947	-100	-100	-0.6464953	-0.40887126	-100	-0.6566911	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.26197073	-100	-0.7898273	-100	-0.1491576	-100	-0.29424623	-100	-0.3685258	-100	-0.23386812	-100	-0.51098925	-100	-100	-0.66766596	-0.27986637	-100	-0.30541503	-100	-0.20272739	-100	-0.37608984	-100	-0.32078028	-100	-0.34109282	-100	-0.09795554	-100	-0.24292429	-100	-0.15671995	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.608083	-100	-0.8816577	-100	-0.58798677	-100	-0.28008953	-100	-0.39227882	-100	-0.20184651	-100	-0.35347113	-100	-0.28611445	-100	-0.5271355	-100	-0.2796377	-100	-0.1305507	-100	-0.16612428	-100	-0.08154043	-100	-0.15690778	-100	-0.21934271	-100	-100	-0.6629668	-0.15789476	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.54046935	-100	-100	-0.6961172	-0.37825897	-100	-0.43444556	-100	-100	-0.43083784	-0.34090933	-100	-0.12780754	-100	-0.18520239	-100	-0.14329657	-100	-0.20530559	-100	-0.081688076	-100	-0.1351561	-100	-0.30108553	-100	-100	-0.24955888	-0.28058502	-100	-0.5433318	-100	-0.13942575	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.5691362	-100	-100	-0.48977855	-100	-0.49602625	-0.6952687	-100	-0.669287	-100	-0.25128427	-100	-0.12856154	-100	-0.6848643	-100	-0.3710891	-100	-0.4528397	-100	-0.26315233	-100	-0.21002589	-100	-0.3395689	-100	-0.5976787	-100	-0.29934463	-100	-100	-0.66732734	-100	-0.76461977
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.36822516	-100	-0.26744857	-100	-1.0038481	-100	-0.7200662	-100	-0.9518016	-100	-0.7193044	-100	-0.27336895	-100	-100	-0.8412186	-0.9488551	-100	-0.38030362	-100	-0.44200554	-100	-100	-1.2570497	-0.596277	-100	-100	-0.6335309	-0.67568576	-100	-0.6982483	-100	-100	-0.5212153
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-100	-0.5888598	-0.5074318	-100	-100	-1.1055691	-0.5486297	-100	-0.54346734	-100	-0.49454975	-100	-0.25009045	-100	-0.29683995	-100	-0.28254148	-100	-0.45538348	-100	-0.6585101	-100	-0.18815014	-100	-0.5805752	-100	-0.693889	-100	-0.302126	-100	-0.31722572	-100	-0.6267092	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.9222591	-100	-0.64346164	-100	-0.48762542	-100	-0.73731923	-100	-0.39041314	-100	-0.47286245	-100	-0.6635836	-100	-0.24326755	-100	-0.6563546	-100	-0.5178073	-100	-0.64805263	-100	-0.395773	-100	-0.5963971	-100	-0.6507079	-100	-0.61866283	-100	-0.6636211	-100	-0.51875967	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-100	-0.3788645	-100	-0.33859983	-100	-0.4471947	-100	-0.433812	-100	-0.1984915	-100	-0.51698655	-100	-0.17992753	-100	-0.63187337	-100	-0.76311016	-100	-0.30986995	-100	-0.5207115	-0.4616088	-100	-100	-0.5179611	-100	-0.3200183	-100	-0.1744124	-100	-0.3777311	-100	-0.24760802
