prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-100	-0.6784878	-100	-0.8259481	-100	-1.2103676	-100	-0.9275204	-100	-0.7768629	-100	-1.0395072	-100	-100	-100	-100	-100	-100	-100	-100	-100	-1.0487951	-100	-100	-100	-1.0369731	-100	-100	-100	-100	-100	-100	-100	-0.74139565
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-1.0811282	-100	-100	-100	-100	-100	-0.98707736	-100	-100	-100	-1.2404238	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-100	-1.0467999	-100	-100	-100	-100	-100	-1.0407329	-100	-100	-100	-0.90594214	-100	-1.2211767	-100	-100	-100	-100	-100	-100	-100	-1.0785235	-100	-100	-100	-100	-100	-1.105373	-0.9017145	-100	-100	-100	-100	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-100	-100	-100	-100	-100	-100	-100	-100	-100	-0.70895994	-100	-0.9029404	-100	-100	-100	-100	-100	-0.96766603	-100	-100	-100	-0.89384454	-1.0177907	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-1.0657805
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-100	-100	-100	-1.1235203	-100	-100	-100	-0.9019706	-100	-0.9887262	-100	-0.8855239	-1.2043632	-100	-100	-1.1886286	-100	-100	-0.9652452	-100	-1.1572602	-100	-1.0283556	-100	-100	-100	-100	-100	-100	-1.0149086	-100	-100	-100	-0.9150777
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-100	-100	-100	-100	-100	-0.9588183	-100	-100	-100	-100	-100	-0.76110524	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-0.8940379
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-100	-100	-100	-100	-100	-0.8241179	-100	-100	-100	-1.055905	-100	-0.8851864	-100	-100	-100	-100	-100	-100	-100	-100	-100	-1.1344031	-0.7086579	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-1.0754938	-100	-100	-100	-100	-100	-100	-100	-1.202252	-100	-1.2213799	-100	-100	-100	-0.9480669	-100	-100	-100	-100	-100	-100	-100	-1.147843	-100	-100	-100	-1.107609	-100	-100	-100	-100	-1.2928556	-100	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-100	-100	-100	-100	-100	-0.9887252	-100	-0.6487449	-100	-1.1005772	-100	-0.6853546	-100	-1.2645519	-100	-100	-100	-0.8262452	-100	-100	-100	-0.91338104	-100	-100	-100	-1.0841608	-100	-0.9279741	-100	-1.0769285	-100	-0.73634475	-100	-0.9384853
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-100	-1.0658582	-100	-100	-100	-1.0236915	-100	-100	-100	-0.678071	-100	-0.5542798	-100	-100	-100	-100	-100	-100	-100	-100	-100	-0.8480475	-100	-100	-100	-0.9543909	-100	-1.108491	-100	-100	-100	-100	-100	-1.0868073
Explain the negative sides of social media use without using bulletins and ask one question at a time. And make it interactive by asking questions like a teacher	-100	-100	-100	-100	-100	-100	-100	-0.9899932	-100	-0.5478774	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
Teach me about the bad sides of social media use. Ask questions to assess my understanding. No bulletins, one question at a time.	-100	-100	-100	-0.93097514	-100	-100	-100	-0.63557076	-100	-0.8790252	-100	-0.69576293	-100	-0.98141956	-100	-100	-100	-100	-100	-100	-100	-0.98765326	-100	-1.2092458	-100	-100	-100	-0.7642977	-100	-100	-100	-100	-100	-0.6910481
Explain the negative sides of social media use without using bulletins and one question at a time. And make it interactive by asking questions like a teacher	-100	-1.0005331	-100	-100	-100	-100	-100	-100	-100	-0.9353067	-100	-0.6343142	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-1.0454752	-100	-100	-100	-100	-100	-100	-100	-0.9554987	-100	-100
1.Explain each block (social media algorithms, echo chambers, fake news, body image affected by social media, cyberbullying, social media self-protection skills)  2.Ask me a short question to assess my learning.  3.Provide feedback on my answer.  Repeat steps 1-3 for each block until all blocks are covered.	-100	-100	-100	-100	-100	-100	-100	-100	-100	-0.93990374	-1.2997764	-100	-100	-100	-0.81033707	-100	-100	-100	-100	-100	-100	-0.9796011	-100	-100	-100	-100	-100	-100	-0.8973708	-100	-100	-100	-0.8896396	-100
Hello! I want to learn more about the negative aspects of social media but in an interactive way. So include me in the conversation by asking questions one at a time	-0.8974749	-100	-100	-100	-100	-100	-100	-100	-100	-100	-1.1524799	-100	-100	-100	-100	-100	-100	-100	-100	-100	-0.7575972	-100	-100	-1.0808843	-1.0324916	-100	-100	-1.1300125	-100	-100	-100	-100	-100	-100
Hello, I want you to behave as my fun and engaging teacher and teach me different aspects of the negative sides of social media. Ask questions about different aspects and wait for my answer. Keep doing it until all the aspects are covered one by one.	-100	-100	-100	-100	-100	-100	-100	-100	-100	-1.1004447	-100	-100	-1.0510201	-100	-100	-100	-1.0260171	-100	-100	-100	-1.1828358	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
