prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-100	-100	-100	-100	-100	-100	-100	-0.8182651	-100	-0.991291	-100	-1.1607912	-100	-100	-100	-100	-100	-100	-100	-100	-100	-1.0771962	-100	-1.1245652	-100	-100	-100	-1.12617	-100	-0.7871488	-100	-0.9781252	-100	-0.75228626
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-100	-100	-100	-100	-100	-100	-100	-100	-100	-0.6332333	-100	-0.8676679	-100	-100	-100	-100	-100	-100	-100	-100	-100	-1.1357365	-100	-0.94948065	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.79853576	-100	-100	-100	-100	-100	-100	-100	-100	-0.9665438	-0.6275466	-100	-100	-100	-100	-100	-100	-100	-100	-100	-1.0652728	-100	-1.1112208	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-100	-100	-0.95633745	-100	-100	-1.1031657	-1.0010568	-100	-100	-0.60601395	-100	-0.9678731	-100	-0.9573985	-100	-100	-100	-100	-100	-100	-100	-0.8128617	-100	-1.0435492	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-0.8993457	-100	-100	-100	-1.2414542	-100	-0.98640686	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-1.0227445	-100	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-100	-1.1685385	-100	-100	-100	-100	-100	-100	-100	-0.6821016	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-1.1155969	-100	-0.760838	-100	-100	-100	-0.94786876	-100	-100	-100	-100	-100	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-100	-100	-100	-1.0128253	-100	-0.99655026	-100	-100	-100	-100	-100	-100	-0.82687944	-100	-100	-100	-100	-100	-100	-100	-100	-100	-1.3026106	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-1.0863286
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-100	-1.0278642	-1.3085124	-100	-100	-100	-100	-100	-1.0014691	-100	-100	-100	-100	-100	-100	-100	-100	-100	-1.2468678	-100	-100	-100	-100	-100	-100	-100	-100	-1.1859995	-1.0948561	-100	-100	-100	-0.86637735	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-100	-100	-100	-100	-100	-1.0653712	-100	-0.9969274	-100	-0.6709529	-100	-0.9893	-100	-100	-100	-100	-100	-100	-100	-100	-100	-1.0135916	-100	-100	-100	-100	-100	-100	-100	-100	-100	-0.99024385	-100	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-100	-100	-100	-0.96571827	-100	-100	-100	-0.7906936	-100	-0.5514475	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-0.7857251	-100	-0.95811784	-100	-100	-100	-100	-100	-0.76118845	-100	-100	-100	-0.6154162
Explain the negative sides of social media use without using bulletins and ask one question at a time. And make it interactive by asking questions like a teacher	-100	-100	-100	-1.2119433	-100	-100	-100	-100	-100	-100	-100	-100	-100	-0.96349764	-100	-0.8294918	-100	-0.93876773	-100	-100	-100	-0.9637805	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-0.930446
Teach me about the bad sides of social media use. Ask questions to assess my understanding. No bulletins, one question at a time.	-100	-100	-100	-0.8150172	-100	-100	-100	-100	-100	-1.1203753	-100	-0.55265576	-100	-100	-100	-100	-100	-100	-100	-0.70793533	-100	-0.6151926	-100	-100	-100	-1.1060305	-100	-100	-100	-0.63558	-100	-0.7544786	-100	-100
Explain the negative sides of social media use without using bulletins and one question at a time. And make it interactive by asking questions like a teacher	-100	-100	-100	-1.0572307	-100	-1.0601746	-100	-0.8749922	-100	-0.6706545	-100	-1.068573	-100	-0.72470105	-100	-100	-100	-100	-100	-100	-100	-1.012907	-100	-100	-100	-0.8632731	-100	-100	-100	-100	-100	-100	-100	-0.9639633
1.Explain each block (social media algorithms, echo chambers, fake news, body image affected by social media, cyberbullying, social media self-protection skills)  2.Ask me a short question to assess my learning.  3.Provide feedback on my answer.  Repeat steps 1-3 for each block until all blocks are covered.	-100	-100	-100	-0.9782459	-100	-100	-100	-0.9094082	-100	-100	-100	-100	-100	-0.8454129	-0.47668862	-100	-100	-100	-100	-100	-100	-1.2322938	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-1.3059603	-100
