prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.55357385	-100	-0.38561895	-100	-0.62724954	-100	-0.94247574	-100	-100	-0.5644876	-0.91980153	-100	-100	-0.7205075	-0.848605	-100	-0.52354944	-100	-100	-0.8166689	-0.63839126	-100	-0.22356808	-100	-0.49658263	-100	-100	-0.4548576	-0.20629902	-100	-100	-0.7619891	-0.7730177	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.36522302	-100	-0.25826854	-100	-0.5478009	-100	-0.31282583	-100	-0.28138867	-100	-0.24785388	-100	-100	-0.743744	-0.21576698	-100	-100	-0.3610355	-0.2289785	-100	-0.45671242	-100	-0.48769557	-100	-0.18368699	-100	-0.22978604	-100	-0.25132084	-100	-0.4366726	-100	-0.32607755	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.17554845	-100	-0.23408103	-100	-0.20506227	-100	-0.40398213	-100	-0.19472663	-100	-0.20077148	-100	-0.34560314	-100	-0.2912333	-100	-0.2952989	-100	-0.15367788	-100	-0.24415135	-100	-0.16278955	-100	-0.25093305	-100	-0.3230092	-100	-0.19438133	-100	-0.5445911	-100	-0.23425303	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.19697322	-100	-0.29462925	-100	-0.27869165	-100	-0.30695432	-100	-100	-0.3201438	-0.28649786	-100	-0.4405789	-100	-0.13396531	-100	-0.2657103	-100	-0.20415916	-100	-0.13177802	-100	-0.39722535	-100	-0.29969898	-100	-0.29572222	-100	-0.16868244	-100	-0.13958062	-100	-0.3592544	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.16820417	-100	-0.2858662	-100	-0.19843763	-100	-0.26061925	-100	-0.23926474	-100	-0.23914853	-100	-0.14780602	-100	-0.18917692	-100	-100	-0.74862015	-0.13266914	-100	-0.18931392	-100	-0.1592488	-100	-0.15138394	-100	-0.13784003	-100	-0.2179026	-100	-0.19152091	-100	-0.22982122	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.13452572	-100	-0.76056004	-100	-0.27164015	-100	-0.33614904	-100	-0.23499776	-100	-0.22335313	-100	-0.20886487	-100	-0.18068774	-100	-0.38115224	-100	-0.37300184	-100	-0.24596016	-100	-0.20699303	-100	-0.31237444	-100	-0.17400274	-100	-0.15960126	-100	-0.27297488	-100	-0.15974586	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.5378344	-100	-0.24086317	-100	-0.75436413	-100	-0.19112445	-100	-0.29625455	-100	-0.20014918	-100	-0.13863839	-100	-0.1253548	-100	-0.23060066	-100	-0.1353374	-100	-0.16777436	-100	-0.10591142	-100	-0.16794863	-100	-0.15154366	-100	-0.3442721	-100	-0.36902657	-100	-0.2987474	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.33386034	-100	-0.22794402	-100	-0.21417378	-100	-0.24634843	-100	-0.14858535	-100	-0.19507487	-100	-0.13697313	-100	-0.18984304	-100	-0.25999668	-100	-0.19174199	-100	-0.1925567	-100	-0.24543412	-100	-0.23603089	-100	-0.3299391	-100	-0.22332482	-100	-0.36262035	-100	-0.45035696	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.26827562	-100	-0.20135489	-100	-0.25882447	-100	-0.3082779	-100	-0.16820706	-100	-0.18949178	-100	-0.15691043	-100	-0.18714555	-100	-0.66995245	-100	-0.52865165	-100	-0.35437047	-100	-0.13455619	-100	-0.17461416	-100	-0.27807027	-100	-0.14893904	-100	-0.35619688	-100	-0.33765617	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.3517722	-100	-100	-0.6361564	-100	-0.88415265	-100	-0.38688377	-100	-0.3913336	-100	-0.20647252	-0.8844656	-100	-100	-0.75566375	-0.25213018	-100	-0.6205794	-100	-100	-0.5754563	-100	-0.85442024	-100	-0.4754929	-100	-0.19352338	-0.44588283	-100	-100	-0.8761859	-100	-0.47244242
Explain the negative sides of social media use without using bulletins and ask one question at a time. And make it interactive by asking questions like a teacher	-0.33812594	-100	-0.23605074	-100	-0.26015973	-100	-0.2364371	-100	-0.21830817	-100	-0.48298416	-100	-0.5377051	-100	-0.34360626	-100	-0.23582359	-100	-0.3837926	-100	-0.30332994	-100	-0.23408602	-100	-0.5785001	-100	-0.35622627	-100	-0.17668907	-100	-0.33767438	-100	-0.22974321	-100
Teach me about the bad sides of social media use. Ask questions to assess my understanding. No bulletins, one question at a time.	-0.26685512	-100	-0.19129845	-100	-0.3452198	-100	-0.22238281	-100	-0.22890215	-100	-0.5985823	-100	-0.4495083	-100	-0.15883538	-100	-0.31112596	-100	-0.5773953	-100	-100	-0.449433	-0.34010595	-100	-100	-0.718688	-100	-0.7689937	-0.24647647	-100	-0.3471678	-100	-0.23920727	-100
Explain the negative sides of social media use without using bulletins and one question at a time. And make it interactive by asking questions like a teacher	-100	-0.64295423	-0.78604335	-100	-0.32379314	-100	-0.30419838	-100	-0.36296037	-100	-0.5761728	-100	-0.31365108	-100	-0.54884654	-100	-0.31428233	-100	-0.3573382	-100	-0.62053853	-100	-0.37002924	-100	-100	-0.7078573	-100	-0.38364044	-0.17465699	-100	-100	-0.5743184	-0.6395247	-100
1.Explain each block (social media algorithms, echo chambers, fake news, body image affected by social media, cyberbullying, social media self-protection skills)  2.Ask me a short question to assess my learning.  3.Provide feedback on my answer.  Repeat steps 1-3 for each block until all blocks are covered.	-100	-0.6377334	-0.31752142	-100	-0.2853354	-100	-0.1778161	-100	-0.27837974	-100	-100	-0.56717247	-0.37359157	-100	-0.125967	-100	-0.35527152	-100	-0.61560065	-100	-100	-0.2978078	-0.22108378	-100	-0.23507929	-100	-0.44512102	-100	-0.19335783	-100	-0.4746312	-100	-0.23147096	-100
Hello! I want to learn more about the negative aspects of social media but in an interactive way. So include me in the conversation by asking questions one at a time	-0.29829127	-100	-0.24178176	-100	-0.36294863	-100	-0.27872118	-100	-100	-0.61240715	-100	-0.52260715	-0.19879663	-100	-0.20123206	-100	-0.32747972	-100	-0.18526724	-100	-0.56777316	-100	-0.24358436	-100	-0.7672846	-100	-0.44480324	-100	-0.20467065	-100	-0.37069428	-100	-0.35180524	-100
Hello, I want you to behave as my fun and engaging teacher and teach me different aspects of the negative sides of social media. Ask questions about different aspects and wait for my answer. Keep doing it until all the aspects are covered one by one.	-0.22382928	-100	-0.16951472	-100	-0.21691974	-100	-0.17057276	-100	-0.7795005	-100	-0.1687331	-100	-0.16430031	-100	-0.1653849	-100	-0.18638825	-100	-0.30345055	-100	-0.19106235	-100	-0.2309177	-100	-0.27316144	-100	-0.39962298	-100	-0.13819236	-100	-0.20037034	-100	-0.4054949	-100
Hello, I want you to behave as my fun and engaging teacher and  teach me different aspects about the negative sides of social media.* Ask questions about different aspects and give me feedback about my answer's competence. Keep doing it until all the aspects are covered one by one	-0.5157197	-100	-0.24570498	-100	-0.23335968	-100	-0.17289694	-100	-0.15118396	-100	-0.38210315	-100	-0.15687382	-100	-0.17035522	-100	-0.3263986	-100	-0.47124878	-100	-0.17714792	-100	-0.11616222	-100	-0.41842952	-100	-0.15307601	-100	-0.12747192	-100	-0.15906172	-100	-0.18647788	-100
