prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.61743593	-100	-0.7984289	-100	-0.369928	-100	-100	-0.7772357	-0.2920434	-100	-0.33646917	-100	-0.28275254	-100	-100	-0.59314424	-0.6969343	-100	-0.6323371	-100	-100	-0.7302406	-0.25704598	-100	-0.29236287	-100	-100	-0.74603873	-100	-0.40530786	-0.5453301	-100	-0.2887985	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.1892246	-100	-0.6484455	-100	-0.24593233	-100	-0.28787196	-100	-0.19811386	-100	-0.24278271	-100	-0.24734542	-100	-0.3179041	-100	-100	-0.7438256	-0.1934624	-100	-0.39491948	-100	-0.33934328	-100	-0.61526567	-100	-100	-0.5072154	-0.16822873	-100	-0.2535359	-100	-0.4514274	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.28776687	-100	-0.25695604	-100	-0.31150272	-100	-0.1540092	-100	-0.15893573	-100	-0.24276699	-100	-0.16518787	-100	-0.16081968	-100	-0.31339216	-100	-0.38167694	-100	-0.3222925	-100	-0.14629182	-100	-0.43924168	-100	-0.36989307	-100	-0.14260778	-100	-0.38816392	-100	-0.21500829	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.18935722	-100	-0.13493252	-100	-0.21480463	-100	-0.210236	-100	-0.2325802	-100	-0.16319716	-100	-0.19286948	-100	-0.18320486	-100	-0.22375248	-100	-0.29666352	-100	-0.32840067	-100	-0.32990327	-100	-0.20858735	-100	-0.4495653	-100	-0.12851551	-100	-0.32050705	-100	-0.3272992	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.2271946	-100	-0.3042661	-100	-0.2207934	-100	-0.2593692	-100	-0.2613738	-100	-0.21429636	-100	-0.16724405	-100	-0.20942044	-100	-0.33317944	-100	-0.31412303	-100	-0.29178903	-100	-0.22886519	-100	-0.30082542	-100	-0.19857502	-100	-0.19963014	-100	-100	-0.70787245	-0.34124374	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.21523535	-100	-0.18886326	-100	-0.3179043	-100	-0.23175205	-100	-0.16418672	-100	-0.22212756	-100	-0.18377581	-100	-0.36112624	-100	-0.3378128	-100	-0.2631825	-100	-0.3729635	-100	-0.17627123	-100	-0.22699077	-100	-0.14024466	-100	-0.09922964	-100	-0.24639991	-100	-0.23485433	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.14237882	-100	-0.18176581	-100	-0.2600151	-100	-0.36409763	-100	-0.12232847	-100	-0.2817827	-100	-0.11524787	-100	-0.20211706	-100	-100	-0.47449034	-0.20003748	-100	-0.20677297	-100	-0.087658055	-100	-0.16795202	-100	-0.13874575	-100	-0.14741105	-100	-0.36945674	-100	-0.1840153	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.20750538	-100	-0.32911217	-100	-0.42587912	-100	-0.17712608	-100	-0.17898716	-100	-0.22241779	-100	-0.16452463	-100	-0.16539475	-100	-0.15499844	-100	-0.1742629	-100	-0.2114085	-100	-0.1380199	-100	-0.13435574	-100	-0.12117464	-100	-0.16096738	-100	-0.3916464	-100	-0.3855234	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.3634147	-100	-0.1572655	-100	-0.41021714	-100	-0.19438486	-100	-0.1985093	-100	-0.14063193	-100	-0.11503632	-100	-0.35878596	-100	-0.20777418	-100	-0.25813434	-100	-0.3267396	-100	-0.12350122	-100	-0.15044639	-100	-0.1875251	-100	-0.15660597	-100	-0.1943549	-100	-0.43448725	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.38652965	-100	-100	-0.8003997	-100	-0.8828305	-100	-0.55487907	-100	-0.24203774	-100	-0.32111815	-100	-0.73967224	-0.92799807	-100	-0.21058904	-100	-0.31908664	-100	-100	-0.43275112	-100	-0.74547	-100	-0.6499467	-100	-0.36727384	-0.8634483	-100	-0.80663115	-100	-100	-0.5377844
Explain the negative sides of social media use without using bulletins and ask one question at a time. And make it interactive by asking questions like a teacher	-0.20902038	-100	-0.33363965	-100	-0.2445413	-100	-0.6416681	-100	-0.36362234	-100	-0.22562698	-100	-0.25902438	-100	-0.22512151	-100	-0.16383727	-100	-0.45355597	-100	-0.37876847	-100	-0.26336515	-100	-0.33225158	-100	-0.41660225	-100	-0.19797897	-100	-0.3427271	-100	-0.4340683	-100
Teach me about the bad sides of social media use. Ask questions to assess my understanding. No bulletins, one question at a time.	-0.29776397	-100	-0.29081345	-100	-0.30008438	-100	-0.17113505	-100	-0.34523025	-100	-0.29930243	-100	-0.2854986	-100	-0.22883238	-100	-0.2455797	-100	-100	-0.779895	-0.279558	-100	-0.2536879	-100	-0.46890822	-100	-100	-0.68941486	-0.20155764	-100	-0.19654755	-100	-0.24604948	-100
Explain the negative sides of social media use without using bulletins and one question at a time. And make it interactive by asking questions like a teacher	-100	-0.77151847	-0.44537196	-100	-0.2813589	-100	-0.2246719	-100	-0.39995024	-100	-0.6759779	-100	-0.33986863	-100	-0.39681172	-100	-0.5710348	-100	-0.77433366	-100	-0.84486854	-100	-0.49288285	-100	-100	-0.49530593	-100	-0.19863784	-0.26084638	-100	-0.41690814	-100	-0.43013218	-100
1.Explain each block (social media algorithms, echo chambers, fake news, body image affected by social media, cyberbullying, social media self-protection skills)  2.Ask me a short question to assess my learning.  3.Provide feedback on my answer.  Repeat steps 1-3 for each block until all blocks are covered.	-0.6430428	-100	-0.30860516	-100	-0.67500824	-100	-0.65557927	-100	-0.22715451	-100	-0.41621158	-100	-100	-0.76888365	-0.21206665	-100	-0.29151016	-100	-0.2246228	-100	-0.41514933	-100	-0.14227203	-100	-0.19638368	-100	-0.79556394	-100	-0.16183166	-100	-0.4190109	-100	-0.22657794	-100
Hello! I want to learn more about the negative aspects of social media but in an interactive way. So include me in the conversation by asking questions one at a time	-0.17772083	-100	-0.14086863	-100	-0.25507402	-100	-0.24771842	-100	-0.16328011	-100	-0.51899713	-100	-0.21812059	-100	-0.24442007	-100	-0.16414015	-100	-0.26141632	-100	-100	-0.6999023	-0.2140808	-100	-0.24955505	-100	-0.335545	-100	-0.13300984	-100	-0.19463155	-100	-0.39438275	-100
Hello, I want you to behave as my fun and engaging teacher and teach me different aspects of the negative sides of social media. Ask questions about different aspects and wait for my answer. Keep doing it until all the aspects are covered one by one.	-0.28745767	-100	-0.36145216	-100	-0.48516655	-100	-0.18639278	-100	-0.17822304	-100	-0.25150722	-100	-0.16080259	-100	-0.16868667	-100	-0.20106624	-100	-0.43234372	-100	-0.2614009	-100	-0.14722934	-100	-0.22315985	-100	-0.27513403	-100	-0.24886633	-100	-0.18648334	-100	-0.17481086	-100
