prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.26453355	-100	-100	-0.38444206	-0.20062198	-100	-0.2708208	-100	-100	-0.59292924	-0.28627977	-100	-0.613132	-100	-100	-0.6596474	-0.3091066	-100	-0.1547379	-100	-0.4436206	-100	-0.19898906	-100	-100	-0.48589075	-100	-0.37396246	-0.22441837	-100	-0.84413886	-100	-0.2894033	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.10150884	-100	-100	-0.7200596	-0.12469902	-100	-0.23340213	-100	-0.46192235	-100	-0.18923174	-100	-0.1953578	-100	-0.21758536	-100	-0.28766033	-100	-0.16637261	-100	-0.1628428	-100	-0.12476378	-100	-100	-0.6514092	-0.83151853	-100	-100	-0.53193253	-0.45277166	-100	-0.30508786	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.11322081	-100	-0.28946564	-100	-0.14417417	-100	-0.16631256	-100	-0.16548084	-100	-0.15279528	-100	-0.12947431	-100	-0.35077372	-100	-0.4498151	-100	-0.13696164	-100	-0.1883413	-100	-0.17103922	-100	-0.28487682	-100	-0.35404676	-100	-0.17304085	-100	-0.614207	-100	-0.34766644	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.123633616	-100	-0.19533193	-100	-0.27036494	-100	-0.7518606	-100	-0.5236988	-100	-0.18363357	-100	-0.42637244	-100	-0.76317036	-100	-0.21332909	-100	-0.13785727	-100	-0.33539587	-100	-0.34887433	-100	-0.41623396	-100	-0.4428869	-100	-0.12541366	-100	-100	-0.53644663	-0.1944359	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.17576176	-100	-0.22610211	-100	-0.24146967	-100	-0.21084791	-100	-0.16429426	-100	-0.123614855	-100	-0.28588563	-100	-0.13194259	-100	-0.27382007	-100	-0.21153566	-100	-0.16436563	-100	-0.2185479	-100	-0.22395879	-100	-0.3081208	-100	-0.2555292	-100	-0.53265274	-100	-0.16950187	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.096918926	-100	-0.16648039	-100	-0.14665535	-100	-0.21791556	-100	-0.22018853	-100	-0.3991584	-100	-0.23635367	-100	-0.12583835	-100	-0.2821943	-100	-0.11911528	-100	-0.17009369	-100	-0.14260013	-100	-0.1684387	-100	-0.13020003	-100	-0.2825939	-100	-0.40942496	-100	-0.19129333	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.1403675	-100	-0.13486676	-100	-0.1684392	-100	-0.16675788	-100	-0.13070162	-100	-0.18123496	-100	-0.12811862	-100	-0.34044492	-100	-0.16004723	-100	-0.17069097	-100	-0.16141355	-100	-0.24165864	-100	-0.4976827	-100	-0.258983	-100	-0.14479771	-100	-0.39163014	-100	-0.13310005	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.15822475	-100	-0.24561231	-100	-0.2735157	-100	-0.23884898	-100	-0.13716474	-100	-0.17092119	-100	-0.18699536	-100	-0.16127577	-100	-0.33933213	-100	-0.14155619	-100	-0.15727603	-100	-0.35935664	-100	-0.43254864	-100	-0.13819215	-100	-0.7883287	-100	-0.33835074	-100	-0.16582446	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.1431903	-100	-0.390549	-100	-0.23445064	-100	-0.17944856	-100	-0.17933746	-100	-0.17675003	-100	-0.26139006	-100	-0.16670422	-100	-0.17013727	-100	-0.29900956	-100	-0.17758214	-100	-0.14920923	-100	-0.1432535	-100	-0.17591134	-100	-0.3123601	-100	-0.27947846	-100	-0.13094251	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.4749451	-100	-100	-0.36308444	-0.47878116	-100	-100	-0.6593594	-100	-0.25761405	-100	-0.32327187	-100	-0.46148768	-0.6391599	-100	-0.8562184	-100	-0.8058217	-100	-100	-0.77828234	-100	-0.25383258	-100	-0.32961318	-100	-0.41655812	-100	-0.25521296	-0.81824154	-100	-100	-0.6934785
