prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.09656482	-100	-0.21329154	-100	-0.31888852	-100	-0.15834366	-100	-0.6908469	-100	-0.11311081	-100	-0.1557425	-100	-0.13954869	-100	-0.123703755	-100	-0.14250246	-100	-0.12498968	-100	-0.23609573	-100	-0.23600969	-100	-0.23224013	-100	-0.21990147	-100	-0.23438624	-100	-0.5953433	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.08075097	-100	-0.14692242	-100	-0.2550082	-100	-0.3584854	-100	-0.6167331	-100	-0.14902574	-100	-0.15190555	-100	-0.18780403	-100	-0.24512605	-100	-0.12774341	-100	-0.08608147	-100	-0.17466187	-100	-0.26203912	-100	-0.65202326	-100	-0.12177062	-100	-0.38561282	-100	-100	-0.6302717
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.10164581	-100	-0.34145567	-100	-0.14937198	-100	-0.19574143	-100	-0.27965528	-100	-0.15261503	-100	-0.21935132	-100	-0.18188855	-100	-0.13462329	-100	-0.15821882	-100	-0.08963363	-100	-0.17744449	-100	-0.09833684	-100	-0.130452	-100	-0.1544622	-100	-0.26466757	-100	-0.15661998	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.13875945	-100	-0.25053915	-100	-0.29411623	-100	-0.15262738	-100	-0.15639052	-100	-0.12435009	-100	-0.220295	-100	-0.14279021	-100	-0.13770677	-100	-0.18882547	-100	-0.095159516	-100	-0.2970598	-100	-0.28487143	-100	-0.13580053	-100	-0.12654811	-100	-0.37685567	-100	-0.19528547	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.11143937	-100	-0.18942407	-100	-0.1813545	-100	-0.19211064	-100	-0.14496277	-100	-0.1622593	-100	-0.18870749	-100	-0.18662061	-100	-0.13816738	-100	-0.14363064	-100	-0.1259712	-100	-0.14378656	-100	-0.14101742	-100	-0.15985572	-100	-0.16883379	-100	-0.23008204	-100	-0.20474328	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.14268503	-100	-0.29610187	-100	-0.4041531	-100	-0.24616757	-100	-0.30654317	-100	-0.16987449	-100	-0.21831802	-100	-0.11176172	-100	-0.31184322	-100	-0.14410554	-100	-0.21062434	-100	-0.19370973	-100	-0.17168124	-100	-0.23853925	-100	-0.16755114	-100	-0.23106301	-100	-0.26254237	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.11617187	-100	-0.13235462	-100	-0.18455614	-100	-0.239908	-100	-0.117849246	-100	-0.12874119	-100	-0.18402496	-100	-0.38965562	-100	-0.13741028	-100	-0.14119898	-100	-0.1789789	-100	-0.15348016	-100	-0.13476677	-100	-0.13940664	-100	-0.13862902	-100	-0.25544596	-100	-0.18611309	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.13033189	-100	-0.2630516	-100	-0.15659182	-100	-0.15374336	-100	-0.121384524	-100	-0.16117422	-100	-0.12193779	-100	-0.18634896	-100	-0.10179758	-100	-0.15616013	-100	-0.15478034	-100	-0.18770535	-100	-0.20726402	-100	-0.15903124	-100	-0.13544911	-100	-0.29180866	-100	-0.135018	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.12592286	-100	-0.21429959	-100	-0.3596832	-100	-0.34557518	-100	-0.507548	-100	-0.13022576	-100	-0.1577405	-100	-0.21791749	-100	-0.44981676	-100	-0.15220152	-100	-0.51280624	-100	-0.17064077	-100	-0.2177669	-100	-0.33194232	-100	-0.24408145	-100	-0.25481144	-100	-0.3160777	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.1498324	-100	-100	-0.31239	-0.6379513	-100	-100	-0.38697416	-100	-0.14485523	-100	-0.674543	-0.4643106	-100	-100	-0.84145176	-0.25167018	-100	-100	-0.831464	-0.18417329	-100	-0.28773507	-100	-0.34655935	-100	-100	-0.26436278	-0.40212402	-100	-0.31048384	-100	-100	-0.31571588
