prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.18188748	-100	-0.5417168	-100	-0.6447551	-100	-100	-0.64335287	-0.27366984	-100	-0.3302834	-100	-0.6324724	-100	-0.16772883	-100	-0.57308006	-100	-0.18091127	-100	-0.36432603	-100	-0.13763426	-100	-0.12641817	-100	-0.74819237	-100	-0.30042946	-100	-0.4277156	-100	-0.5808369	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.20962235	-100	-0.23367819	-100	-0.38415352	-100	-0.6964085	-100	-100	-0.63700646	-0.25909165	-100	-0.23730427	-100	-0.3188085	-100	-0.19411696	-100	-0.13399974	-100	-100	-0.9323566	-0.66566676	-100	-0.1680238	-100	-0.26264295	-100	-0.16386107	-100	-0.54356885	-100	-0.6111566	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.14064112	-100	-0.44035345	-100	-0.49683145	-100	-0.17762394	-100	-0.16269593	-100	-0.63754505	-100	-0.14972009	-100	-0.23384771	-100	-0.32045487	-100	-0.16860123	-100	-0.3643377	-100	-0.2650496	-100	-0.48760948	-100	-0.36164185	-100	-0.30922782	-100	-0.29091805	-100	-0.73518574	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.53688776	-100	-0.7691166	-100	-0.54138196	-100	-0.15136278	-100	-0.27474868	-100	-0.61179656	-100	-0.15504068	-100	-0.22988197	-100	-0.17356823	-100	-0.7175553	-100	-0.34154448	-100	-0.24881513	-100	-0.37110686	-100	-100	-0.77407986	-0.19514117	-100	-0.13639066	-100	-100	-0.85884833
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.21786717	-100	-0.2901049	-100	-0.41033083	-100	-0.37241387	-100	-0.26597336	-100	-0.2882569	-100	-0.21318199	-100	-0.15114895	-100	-0.144114	-100	-0.17388749	-100	-0.4633802	-100	-0.28959063	-100	-0.21101615	-100	-0.31938288	-100	-0.30394787	-100	-0.20930418	-100	-0.7871091	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.15887612	-100	-0.46872896	-100	-0.31290522	-100	-0.21863371	-100	-0.40245768	-100	-0.43932614	-100	-0.17990968	-100	-0.16560307	-100	-0.8175546	-100	-0.23278199	-100	-0.49766904	-100	-0.34088042	-100	-0.26438165	-100	-0.18103956	-100	-0.13206379	-100	-0.44443217	-100	-0.46706194	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.3161957	-100	-0.29391742	-100	-0.19281231	-100	-0.25668454	-100	-0.35165858	-100	-0.2015656	-100	-0.27580056	-100	-0.16253112	-100	-0.610191	-100	-0.115506016	-100	-0.21998426	-100	-0.19637519	-100	-0.2981432	-100	-0.45105425	-100	-0.20270477	-100	-0.45860785	-100	-0.2607895	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.3398384	-100	-0.82246923	-100	-0.3213521	-100	-0.3317266	-100	-100	-0.86394584	-100	-0.846464	-0.51196814	-100	-0.21755826	-100	-0.2594945	-100	-0.33042318	-100	-0.15585756	-100	-0.15702431	-100	-0.23866865	-100	-0.22778307	-100	-0.2766528	-100	-0.46997914	-100	-0.46160984	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.350077	-100	-0.15165679	-100	-0.1685122	-100	-0.28436103	-100	-0.2107161	-100	-100	-0.44391525	-0.38901284	-100	-0.39958563	-100	-0.3746919	-100	-0.16519567	-100	-0.74327147	-100	-0.1653053	-100	-0.4596954	-100	-0.109260455	-100	-0.09851757	-100	-0.31293112	-100	-0.39506823	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.41815692	-100	-100	-0.4160731	-100	-0.7814233	-100	-0.39431348	-100	-0.24504548	-0.603125	-100	-100	-0.479183	-100	-0.4631333	-0.5981755	-100	-0.5276953	-100	-100	-0.725933	-0.8384184	-100	-100	-0.3462047	-100	-0.22158384	-100	-0.6276819	-0.4566013	-100	-100	-0.3512334
