prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.26988858	-100	-100	-0.6506606	-0.32257056	-100	-0.5483	-100	-100	-0.6076804	-0.38295966	-100	-0.122601114	-100	-0.42307144	-100	-100	-0.4543961	-0.40163758	-100	-100	-0.5281908	-0.21851459	-100	-0.6991463	-100	-0.48164698	-100	-0.20397884	-100	-100	-0.51371133	-100	-0.39519107
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.17162137	-100	-100	-0.8850684	-0.26883385	-100	-0.25134265	-100	-100	-0.33995807	-0.5889975	-100	-0.113296166	-100	-100	-1.0968202	-0.6041553	-100	-0.22298886	-100	-0.33588606	-100	-0.17240624	-100	-0.18852252	-100	-0.40181187	-100	-0.160506	-100	-0.46686655	-100	-0.37352931	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.36451748	-100	-0.86058885	-100	-0.2538235	-100	-0.24108183	-100	-100	-0.7658497	-0.21493039	-100	-0.14432193	-100	-0.80224866	-100	-0.3169604	-100	-0.17925744	-100	-0.8869127	-100	-0.19907284	-100	-0.30059528	-100	-0.34596997	-100	-0.2367269	-100	-0.3527634	-100	-0.6413387	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.21737733	-100	-0.4619843	-100	-0.3572338	-100	-0.15178032	-100	-100	-0.8463206	-0.1842187	-100	-0.19797687	-100	-0.21182823	-100	-0.23881455	-100	-0.28614643	-100	-0.5458444	-100	-0.14943054	-100	-0.37444505	-100	-0.72423625	-100	-0.22116147	-100	-0.2859824	-100	-0.11276047	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.19150144	-100	-0.5328492	-100	-0.37664503	-100	-0.49747768	-100	-0.44222254	-100	-0.2300942	-100	-0.21747099	-100	-0.15293618	-100	-0.14433949	-100	-0.3162476	-100	-0.23502101	-100	-0.2013519	-100	-0.61843175	-100	-0.42089427	-100	-0.16082981	-100	-0.17756434	-100	-0.25066328	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.12947498	-100	-0.37646165	-100	-0.16347887	-100	-0.40957865	-100	-0.20102149	-100	-0.67223114	-100	-0.21183193	-100	-0.21133478	-100	-0.2040368	-100	-0.21389203	-100	-0.22914264	-100	-0.32701772	-100	-0.14474335	-100	-0.27494273	-100	-0.16456272	-100	-0.32958806	-100	-0.49681115	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.20416865	-100	-0.35798427	-100	-0.18899034	-100	-0.14957762	-100	-0.34964997	-100	-0.15831888	-100	-0.17260881	-100	-0.34090087	-100	-0.20918824	-100	-0.38096657	-100	-0.39681295	-100	-0.22707836	-100	-0.105043136	-100	-0.5558217	-100	-0.2710979	-100	-100	-0.5288854	-0.17262092	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.35720307	-100	-0.2790228	-100	-0.24143067	-100	-0.4965183	-100	-0.19865486	-100	-0.59522766	-100	-0.7178455	-100	-0.18994509	-100	-0.6711113	-100	-0.6301222	-100	-0.6270353	-100	-0.14164938	-100	-0.23909515	-100	-0.38264373	-100	-0.27303544	-100	-0.2792625	-100	-100	-0.73739904
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.4102085	-100	-0.60039747	-100	-0.3919046	-100	-0.27102304	-100	-0.20822886	-100	-0.32443458	-100	-0.23254032	-100	-0.17906623	-100	-0.70044255	-100	-0.19231877	-100	-100	-0.49048036	-0.2199816	-100	-0.2998966	-100	-0.1867668	-100	-0.12297332	-100	-0.3106211	-100	-0.14976308	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.5701229	-100	-100	-0.4323092	-0.44559994	-100	-100	-0.40444693	-100	-0.20060763	-100	-0.5249418	-100	-0.5438592	-0.4467127	-100	-100	-0.69023836	-0.89525825	-100	-100	-0.6367468	-100	-0.8920515	-100	-0.18194062	-100	-0.26831818	-0.72262025	-100	-100	-0.4517826	-100	-0.5790126
