prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-100	-0.4702739	-0.19577266	-100	-100	-0.90389484	-100	-0.5865041	-0.27935314	-100	-0.14623207	-100	-100	-0.426718	-100	-0.27000746	-100	-0.3557512	-0.18476084	-100	-100	-0.7636583	-0.08434009	-100	-100	-0.4105451	-100	-0.9176045	-0.27912247	-100	-100	-0.29374886	-100	-0.41473386
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.16867109	-100	-0.140467	-100	-0.43777218	-100	-0.22199151	-100	-0.16293013	-100	-0.14724806	-100	-0.17448819	-100	-0.16670091	-100	-0.30942184	-100	-0.13392414	-100	-0.29229543	-100	-0.1237273	-100	-100	-0.40101963	-0.531503	-100	-0.53020823	-100	-100	-0.28228834	-100	-0.3443431
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.48789704	-100	-0.33062965	-100	-0.20650387	-100	-100	-0.74866974	-0.15434214	-100	-0.486699	-100	-0.39404866	-100	-0.16987018	-100	-0.35967365	-100	-0.2453091	-100	-0.12608491	-100	-0.13084495	-100	-100	-0.65930796	-0.7234815	-100	-0.6619751	-100	-0.16569713	-100	-0.42700136	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.30051422	-100	-100	-0.30674613	-0.35167807	-100	-0.4077942	-100	-0.22056226	-100	-0.38194868	-100	-0.09628849	-100	-100	-0.69019276	-0.26975125	-100	-0.4931784	-100	-0.29773107	-100	-0.4494356	-100	-0.2163417	-100	-0.33368683	-100	-0.43576288	-100	-0.36738676	-100	-0.36941683	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.19414903	-100	-0.1657173	-100	-0.31209692	-100	-0.51087993	-100	-100	-0.31451088	-0.22109121	-100	-0.15691663	-100	-0.116266064	-100	-0.31596717	-100	-0.31938434	-100	-0.3071235	-100	-100	-0.4177387	-100	-0.49700347	-0.64511025	-100	-0.085394524	-100	-100	-0.4637104	-0.23814447	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-1.2398486	-100	-0.12783742	-100	-0.27901146	-100	-0.93482304	-100	-100	-0.5304052	-0.3216535	-100	-0.07370014	-100	-0.33674443	-100	-0.646442	-100	-0.17656213	-100	-0.21442065	-100	-0.22105575	-100	-100	-0.3642363	-100	-0.4858271	-0.31117445	-100	-0.3796183	-100	-0.20135422	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-1.2567798	-100	-100	-0.6043528	-0.6667584	-100	-0.64602906	-100	-0.40635592	-100	-0.39751562	-100	-0.34529877	-100	-0.53764623	-100	-0.63404065	-100	-0.58395046	-100	-0.22935493	-100	-0.31320387	-100	-0.5819083	-100	-0.6456843	-100	-0.6952796	-100	-1.0789732	-100	-0.67861325	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.21551745	-100	-0.25625455	-100	-100	-0.36739492	-0.25444138	-100	-0.4817207	-100	-0.4809496	-100	-0.22050384	-100	-0.6555808	-100	-0.46281832	-100	-0.29488218	-100	-0.3997014	-100	-0.109854005	-100	-0.25024346	-100	-0.8811217	-100	-0.43174595	-100	-0.30845731	-100	-0.70232636	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-100	-0.64911985	-0.49007404	-100	-0.4214216	-100	-0.6334297	-100	-0.3800778	-100	-0.2756077	-100	-0.49385443	-100	-0.440747	-100	-0.85320956	-100	-0.68322676	-100	-0.3371084	-100	-0.41377467	-100	-0.5099423	-100	-0.45449424	-100	-0.55561495	-100	-0.35652456	-100	-0.5421826	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-100	-0.24689151	-100	-0.16900437	-100	-0.2155733	-100	-0.5052385	-100	-0.31029987	-100	-0.38447112	-100	-0.41027442	-100	-0.2209374	-100	-0.17191055	-100	-0.33643273	-100	-0.22487713	-100	-0.2024201	-100	-0.21142866	-100	-0.36074102	-0.09557837	-100	-100	-0.14434493	-100	-0.56708723
