prompt	Topic - concise(1,NaN)_Y	Topic - broken down (1,NaN)_Y	1 Goal (1,NaN)_Y	2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_Y	AI role play (1,NaN)_Y	Role form/context(1,NaN)_Y	Meta Process-related (1,NaN)_Y	Simple sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_Y	ActAsPersona- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_Y	Feature 3: Form-FlippedPattern:_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_N	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_N	AI role play (1,NaN)_N	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.098856494	-100	-0.081976	-100	-0.02741149	-100	-0.03962676	-100	-100	-0.062271945	-0.34029958	-100	-0.04926811	-100	-100	-0.04232235	-0.05439448	-100	-0.0779335	-100	-0.026304936	-100	-0.018544829	-100	-100	-0.041431554	-100	-0.026248151	-0.16097544	-100	-100	-100	-100	-0.056652438
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-100	-0.07088438	-100	-0.4235946	-0.35546455	-100	-0.08935673	-100	-0.039861243	-100	-0.05159205	-100	-0.032355443	-100	-0.026036948	-100	-0.071442395	-100	-0.025602812	-100	-0.039972156	-100	-0.04825969	-100	-0.48017463	-100	-0.11490842	-100	-0.071026295	-100	-0.1661473	-100	-0.028315557	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.21991773	-100	-0.1961587	-100	-0.124676414	-100	-0.058376778	-100	-0.08842202	-100	-0.05732078	-100	-0.6026318	-100	-0.26676616	-100	-0.10782236	-100	-0.057409912	-100	-0.18723418	-100	-0.26722166	-100	-0.087796144	-100	-100	-0.09593842	-0.040921133	-100	-100	-100	-0.3645733	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.24902216	-100	-0.4871174	-100	-0.06874203	-100	-0.1306631	-100	-0.14564776	-100	-0.22863525	-100	-0.30183715	-100	-0.22603576	-100	-0.36897612	-100	-0.04578819	-100	-0.19258863	-100	-0.07013862	-100	-100	-100	-0.13755055	-100	-0.06459933	-100	-0.1966545	-100	-0.055745818	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-100	-100	-0.03591663	-100	-0.1172432	-100	-0.2554584	-100	-0.38618588	-100	-0.15373	-100	-0.1864123	-100	-0.27798134	-100	-0.13670953	-100	-0.31674054	-100	-0.06762082	-100	-0.14871404	-100	-0.32016888	-100	-0.3958375	-100	-0.11187809	-100	-100	-0.72690094	-0.5956673	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.63255095	-100	-0.11398834	-100	-0.06837198	-100	-0.4052765	-100	-0.17826913	-100	-100	-0.19232042	-0.055581786	-100	-0.12790528	-100	-0.06996568	-100	-0.055907037	-100	-0.057312958	-100	-0.5163431	-100	-0.45264584	-100	-0.13678497	-100	-0.107053734	-100	-0.20678318	-100	-0.14171222	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-100	-0.11298681	-0.14331858	-100	-0.17457542	-100	-0.21251298	-100	-100	-0.29084304	-0.08459531	-100	-0.04319626	-100	-0.13639346	-100	-100	-0.5495182	-0.34701115	-100	-0.29560456	-100	-0.06548167	-100	-0.31822914	-100	-0.63606566	-100	-0.06350067	-100	-0.27759728	-100	-0.06571626	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-100	-0.21342595	-0.0941157	-100	-0.062380172	-100	-0.20155342	-100	-0.066613555	-100	-0.07755514	-100	-0.046090487	-100	-0.06885543	-100	-100	-0.59241545	-0.26086813	-100	-0.17491402	-100	-0.029059784	-100	-0.13829775	-100	-0.045627102	-100	-0.15513165	-100	-0.16421293	-100	-0.064540446	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.2974898	-100	-0.12911773	-100	-0.16148591	-100	-0.18951166	-100	-0.22475159	-100	-0.25864327	-100	-0.0815747	-100	-0.07103993	-100	-0.33733964	-100	-0.11624725	-100	-0.09019973	-100	-0.04969017	-100	-0.061143506	-100	-0.09981734	-100	-0.07307963	-100	-0.3387499	-100	-0.07896094	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.24096866	-100	-0.23956735	-100	-100	-0.041486353	-100	-0.07670193	-100	-0.06692323	-0.5314215	-100	-0.36084607	-100	-0.6659648	-100	-0.20842259	-100	-100	-100	-0.739651	-100	-100	-0.051350504	-100	-0.06703349	-100	-0.04122656	-0.055585504	-100	-0.18888177	-100	-0.2353426	-100
