prompt	Topic - concise(1,NaN)_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_Y	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_Y	1 Goal (1,NaN)_N	2 Goals (1,NaN)_Y	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_N	AI role play (1,NaN)_Y	AI role play (1,NaN)_N	Role form/context(1,NaN)_Y	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_Y	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_Y	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_Y	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_Y	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.22949882	-100	-0.6145141	-100.0	-0.21541336	-100	-100.0	-0.60203665	-0.67798716	-100.0	-0.6593781	-100.0	-0.27181888	-100	-0.4408424	-100	-0.31332976	-100	-0.2709158	-100	-0.6778369	-100.0	-0.2809072	-100	-0.26387015	-100	-0.53446436	-100	-0.31322867	-100.0	-0.40811768	-100	-0.2725153	-100
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.14898802	-100	-0.43852144	-100.0	-0.15247263	-100	-0.19536562	-100.0	-0.39254954	-100.0	-0.30570266	-100.0	-0.16369116	-100	-0.16237314	-100	-0.6992635	-100	-0.17897291	-100	-0.4379203	-100.0	-0.20446953	-100	-0.19718423	-100	-0.36238945	-100	-0.2478289	-100.0	-0.3974956	-100	-0.33325338	-100
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.11786165	-100	-0.16374949	-100.0	-0.13615246	-100	-0.21582288	-100.0	-0.26072145	-100.0	-0.47577044	-100.0	-0.18469697	-100	-0.1881636	-100	-0.19548273	-100	-0.14617854	-100	-0.35581774	-100.0	-0.1708567	-100	-0.14575581	-100	-0.28705168	-100	-0.21305497	-100.0	-0.187149	-100	-0.2021712	-100
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.19746727	-100	-0.52164525	-100.0	-0.1548628	-100	-0.19050114	-100.0	-0.30381918	-100.0	-0.1289987	-100.0	-0.13473336	-100	-0.3470941	-100	-0.16702235	-100	-0.19830331	-100	-0.6986065	-100.0	-0.14352337	-100	-0.14155681	-100	-0.15047209	-100	-0.20549537	-100.0	-0.11959427	-100	-0.19009441	-100
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.15644482	-100	-0.4954093	-100.0	-0.13495749	-100	-0.26436412	-100.0	-0.2097862	-100.0	-0.6073685	-100.0	-0.10813364	-100	-0.36762947	-100	-0.14649248	-100	-0.12824905	-100	-0.25634915	-100.0	-0.16974524	-100	-0.10713329	-100	-0.14336368	-100	-0.1271105	-100.0	-0.17106313	-100	-0.20273323	-100
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.13132103	-100	-0.1980848	-100.0	-0.12580314	-100	-0.25911483	-100.0	-0.26468995	-100.0	-0.15331179	-100.0	-0.25909674	-100	-0.28307405	-100	-0.25679874	-100	-0.23449984	-100	-0.37889963	-100.0	-0.11484738	-100	-0.27037007	-100	-0.21236107	-100	-0.11984897	-100.0	-0.13413304	-100	-0.2974556	-100
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.0833121	-100	-0.22186708	-100.0	-0.23612764	-100	-0.18246333	-100.0	-0.2602485	-100.0	-0.20947792	-100.0	-0.26165462	-100	-0.3006895	-100	-0.28666702	-100	-0.2502551	-100	-0.13284992	-100.0	-0.173241	-100	-0.09349717	-100	-0.47888038	-100	-0.12502506	-100.0	-0.12710717	-100	-0.11800551	-100
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.10868925	-100	-0.15883727	-100.0	-0.35014468	-100	-0.27128506	-100.0	-0.29753193	-100.0	-0.43342653	-100.0	-0.4585509	-100	-0.10233894	-100	-0.76557267	-100	-0.26048043	-100	-100.0	-0.6353822	-0.29089215	-100	-0.4453482	-100	-0.33525193	-100	-0.2672344	-100.0	-0.7494478	-100	-0.27646676	-100
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.2261776	-100	-0.16235855	-100.0	-0.29581523	-100	-0.2865809	-100.0	-0.23141468	-100.0	-0.32801247	-100.0	-0.4140583	-100	-0.40208998	-100	-0.1937891	-100	-0.22098987	-100	-0.573485	-100.0	-0.16214438	-100	-0.17555016	-100	-0.16590212	-100	-0.23387806	-100.0	-0.5565711	-100	-0.1670675	-100
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.31357056	-100	-0.5895853	-100.0	-0.3183602	-100	-100.0	-0.6630192	-100.0	-0.19812833	-0.44248453	-100.0	-0.13920549	-100	-0.48825973	-100	-0.14932486	-100	-0.17337659	-100	-0.43885604	-100.0	-0.863242	-100	-0.29209846	-100	-0.43301317	-100	-0.14088497	-100.0	-0.21531962	-100	-0.1310865	-100
