prompt	Topic - concise(1,NaN)_Y	Topic - concise(1,NaN)_N	Topic - broken down (1,NaN)_Y	Topic - broken down (1,NaN)_N	1 Goal (1,NaN)_Y	1 Goal (1,NaN)_N	2 Goals (1,NaN)_Y	2 Goals (1,NaN)_N	>2 Goals (1,NaN)_Y	>2 Goals (1,NaN)_N	AI role play (1,NaN)_Y	AI role play (1,NaN)_N	Role form/context(1,NaN)_Y	Role form/context(1,NaN)_N	Meta Process-related (1,NaN)_Y	Meta Process-related (1,NaN)_N	Simple sentence structure (1,NaN)_Y	Simple sentence structure (1,NaN)_N	Complex sentence structure (1,NaN)_Y	Complex sentence structure (1,NaN)_N	ActAsPersona- Persona Pattern (1,Nan)_Y	ActAsPersona- Persona Pattern (1,Nan)_N	ProvideOutPuts- Persona Pattern (1,Nan)_Y	ProvideOutPuts- Persona Pattern (1,Nan)_N	PatternOrder- Persona Pattern (1,Nan)_Y	PatternOrder- Persona Pattern (1,Nan)_N	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_Y	StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)_N	Feature 1: AskMeQuestions-FlippedPattern_Y	Feature 1: AskMeQuestions-FlippedPattern_N	Feature 2: ConditionStop-FlippedPattern_Y	Feature 2: ConditionStop-FlippedPattern_N	Feature 3: Form-FlippedPattern:_Y	Feature 3: Form-FlippedPattern:_N
I want you to teach me the disadvantages of social media according to my personal information like age, level of education, & culture.	-0.18079929	-100.0	-0.48207986	-100.0	-100.0	-0.82318854	-0.18541302	-100.0	-100.0	-0.5301892	-0.7891829	-100.0	-0.27374548	-100.0	-100.0	-0.8200377	-0.7415932	-100.0	-0.38982257	-100.0	-100.0	-0.87805134	-0.3553101	-100.0	-0.52111894	-100.0	-0.734958	-100.0	-0.7144844	-100.0	-0.49454495	-100.0	-100.0	-0.4873528
Please teach me what are some disadvantages of using social media in an interactive manner by considering my age, educational level, & culture.	-0.29730853	-100.0	-100.0	-0.74238145	-0.24202736	-100.0	-0.6161461	-100.0	-0.6918654	-100.0	-0.1763928	-100.0	-0.19496186	-100.0	-0.38659862	-100.0	-100.0	-0.33952147	-0.15919763	-100.0	-0.60210717	-100.0	-0.28678373	-100.0	-0.5744787	-100.0	-100.0	-0.4223002	-0.15391248	-100.0	-0.563153	-100.0	-0.58809596	-100.0
Please teach me the disadvantages of social media considering my age, level of education, and culture in an interactive manner. Doing this, try to be more interactive by asking me questions.	-0.13849661	-100.0	-0.42133927	-100.0	-0.3925674	-100.0	-0.2742149	-100.0	-0.22267291	-100.0	-0.8980931	-100.0	-0.21732469	-100.0	-0.1626417	-100.0	-100.0	-0.4434979	-0.13920549	-100.0	-0.8403542	-100.0	-0.20848802	-100.0	-0.48645568	-100.0	-0.40958098	-100.0	-0.15134586	-100.0	-0.12903492	-100.0	-0.39108524	-100.0
Hello! Please try to act like my teacher teaching me disadvantages of social media by considering my age, level of education, and culture but in a more friendly and supportive way. Meanwhile, please do this in an interactive way by asking one question at a time.	-0.2354077	-100.0	-0.48758125	-100.0	-0.25925562	-100.0	-0.20461382	-100.0	-0.21653828	-100.0	-0.24375357	-100.0	-0.2526811	-100.0	-0.3202968	-100.0	-0.2785676	-100.0	-0.28059378	-100.0	-0.31497836	-100.0	-0.22011997	-100.0	-0.5181601	-100.0	-0.31740132	-100.0	-0.24899852	-100.0	-0.42616278	-100.0	-0.14741126	-100.0
Would you please try to teach me Social Media Disadvantages by considering my age, level of education, and culture like a friendly teacher but using humor and being interactive by asking questions to make sure I got your point.	-0.2205173	-100.0	-0.27094027	-100.0	-0.2559685	-100.0	-0.26127017	-100.0	-0.323937	-100.0	-0.3009436	-100.0	-0.17614931	-100.0	-0.28361395	-100.0	-0.21234936	-100.0	-0.18398735	-100.0	-0.254417	-100.0	-0.3811673	-100.0	-0.31902054	-100.0	-0.6743488	-100.0	-0.19315688	-100.0	-0.30034375	-100.0	-0.17225485	-100.0
Hello! I want to learn the disadvantages of Social Media. Please try to act like my teacher teaching me these disadvantages by considering my age, level of education, and culture. Please include me in a friendly and supportive conversation by asking back-and-forth question-answers.	-0.18801382	-100.0	-0.54302084	-100.0	-0.27934322	-100.0	-0.2830542	-100.0	-0.13851674	-100.0	-0.31024402	-100.0	-0.21424325	-100.0	-0.22495103	-100.0	-0.6504464	-100.0	-0.20894568	-100.0	-0.25335857	-100.0	-0.20706077	-100.0	-0.29514596	-100.0	-0.26093265	-100.0	-0.20705996	-100.0	-0.13792035	-100.0	-0.21191141	-100.0
This is Mona. I learn things better while making it fun. Can you act like a teacher with a natural and friendly behavior and teach me 2 disadvantages of social media (echo chambers & social media self-protection skills)? doing so please follow these rules: 1- make a completely interactive conversation with question answer, 2- wait for my answers when you ask a question, 3- use sense of humor in explanation, 4- ask age and the level of knowledge (preschool, elementary school, high school, diploma, higher education...) and form the level of information based on them, 5- ask for culture and point out some related explanation about the two mentioned social media disadvantages regarding the culture.	-0.24445835	-100.0	-0.23261583	-100.0	-0.16605602	-100.0	-0.17924698	-100.0	-0.1621331	-100.0	-0.17265414	-100.0	-0.22349554	-100.0	-0.16599776	-100.0	-0.3893328	-100.0	-0.21385925	-100.0	-0.58894897	-100.0	-0.1336232	-100.0	-0.17966262	-100.0	-0.21401872	-100.0	-0.08481218	-100.0	-100.0	-0.72620887	-0.20721987	-100.0
"I'm a student!  Could you be my super-cool ""teacher"" for a bit and chat about two tricky things with social media ""Echo Chambers"" and ""Social Media Self Protection Skills""?  Here's how we can make it awesome:   - Let's make this a real conversation. You ask one question at a time, always hold up for my reply, I answer, and go to the next interactive step.  - Keep the conversation fun! A joke or two wouldn't hurt.  - First, what is my name, how old am I and what's my school level? That way, you can keep things more appropriate for me.  - Lastly, what's my cultural background? It'll help make our chat about social media even more understandable by mentioning related examples specific to my culture for each topic."	-0.36869228	-100.0	-0.22880098	-100.0	-0.29219434	-100.0	-0.15358272	-100.0	-0.64200395	-100.0	-100.0	-0.899167	-0.46541694	-100.0	-0.15445134	-100.0	-0.7993993	-100.0	-0.19983874	-100.0	-0.4205663	-100.0	-0.16460116	-100.0	-0.46943557	-100.0	-0.3955853	-100.0	-0.38813475	-100.0	-0.85026866	-100.0	-0.20222382	-100.0
"Hey there! I'm eager to learn from you about the downsides of social media. Let's focus on six key topics: ""echo chambers,"" ""self-protection skills,"" ""fake news,"" ""cyberbullying,"" ""algorithms,"" and ""body image."" How about first asking my age, school level, and cultural background and awaiting my answers? So, you can tailor the convo to me and always provide an example that is culturally relevant and relatable to me for each topic. Please tackle one topic at a time, while keeping it fun and relatable by first explaining the content. After each, ask me one quick question at a time for each topic to make sure we're on the same page."	-0.23096171	-100.0	-0.24987456	-100.0	-0.21783529	-100.0	-0.15041631	-100.0	-0.3554851	-100.0	-0.29129383	-100.0	-0.17333321	-100.0	-100.0	-0.6353766	-0.6306167	-100.0	-0.12242911	-100.0	-0.20806709	-100.0	-0.13531515	-100.0	-0.30837607	-100.0	-0.3684592	-100.0	-0.21682121	-100.0	-0.2249582	-100.0	-0.16402595	-100.0
Hello! I want to learn more about the negative aspects of social media. Can we have an educative conversation about it?	-0.37064764	-100.0	-100.0	-0.5582947	-0.5107108	-100.0	-100.0	-0.8413857	-100.0	-0.27489242	-100.0	-0.32169557	-0.7115347	-100.0	-100.0	-0.3777153	-0.7471611	-100.0	-100.0	-0.6313079	-100.0	-0.20156983	-100.0	-0.4523813	-100.0	-0.7818932	-100.0	-0.26536006	-100.0	-0.23235825	-0.5696976	-100.0	-100.0	-0.4725076
Explain the negative sides of social media use without using bulletins and ask one question at a time. And make it interactive by asking questions like a teacher	-0.24900465	-100.0	-100.0	-0.7407145	-0.16816166	-100.0	-0.28788784	-100.0	-0.23846474	-100.0	-100.0	-0.9055689	-0.17697369	-100.0	-0.18816547	-100.0	-0.39773443	-100.0	-100.0	-0.51187384	-0.19128157	-100.0	-0.4133932	-100.0	-0.6906902	-100.0	-0.7210692	-100.0	-0.20937803	-100.0	-0.44001725	-100.0	-0.60262245	-100.0
Teach me about the bad sides of social media use. Ask questions to assess my understanding. No bulletins, one question at a time.	-0.40438166	-100.0	-0.41386002	-100.0	-0.32872424	-100.0	-0.3023987	-100.0	-0.5107808	-100.0	-100.0	-0.4131534	-0.21251312	-100.0	-0.297987	-100.0	-0.15973663	-100.0	-0.37963524	-100.0	-100.0	-0.72432995	-0.24863268	-100.0	-0.25679997	-100.0	-0.5629861	-100.0	-0.28186256	-100.0	-0.17131558	-100.0	-0.48400018	-100.0
Explain the negative sides of social media use without using bulletins and one question at a time. And make it interactive by asking questions like a teacher	-0.46158144	-100.0	-0.82570654	-100.0	-0.32112733	-100.0	-0.2591913	-100.0	-0.5515141	-100.0	-0.5902194	-100.0	-0.31210622	-100.0	-0.50392956	-100.0	-0.44927374	-100.0	-100.0	-0.795554	-100.0	-1.0784936	-0.2620241	-100.0	-0.6792077	-100.0	-0.38489303	-100.0	-0.72372913	-100.0	-0.19057938	-100.0	-100.0	-0.6744804
1.Explain each block (social media algorithms, echo chambers, fake news, body image affected by social media, cyberbullying, social media self-protection skills)  2.Ask me a short question to assess my learning.  3.Provide feedback on my answer.  Repeat steps 1-3 for each block until all blocks are covered.	-100.0	-0.59297013	-100.0	-0.63554543	-0.4137668	-100.0	-0.6711101	-100.0	-0.68576235	-100.0	-100.0	-0.84220684	-0.7309259	-100.0	-0.5345077	-100.0	-0.31771132	-100.0	-0.6688546	-100.0	-100.0	-0.6127763	-0.34602928	-100.0	-100.0	-0.6351635	-100.0	-0.7084798	-100.0	-0.68082815	-100.0	-0.8149359	-0.5830057	-100.0
